A--!EGBM69UJNJ	あ--!えGBM69うJんJ
A-AK.JM8E!4.EM	あ-あK.JM8え!4.えM
A-AK.RAUE9-.E-	あ-あK.らうえ9-.え-
A-AKDK!0HNEU.!	あ-あKDK!0Hねう.!
A-AM!8NGNY4MZA	あ-あM!8んGんY4Mざ
A-AM.T.ZZIIT0E	あ-あM.T.ZじいT0え
A-AM03DINTN8M.	あ-あM03DいんTん8M.
A-AMD-E940NZNJ	あ-あMD-え940んZんJ
A-AMK64.GE8MN-	あ-あMK64.げ8Mん-
A-AMM!9Z8D.EJG	あ-あMM!9Z8D.えJG
A-APWSGNDNU9-Z	あ-あPWSGんDぬ9-Z
A-AR.SRZ7UBGU-	あ-あR.SRZ7うBぐ-
A-ARROZTUUE9.M	あ-あRろZつうえ9.M
A-ASWSMUK3M.D.	あ-あSWSむK3M.D.
A-ASGA.Y-4TRUZ	あ-あSが.Y-4TるZ
A-AT-DY-1USUUJ	あ-あT-DY-1うすうJ
A-ATG!R!2MDITU	あ-あTG!R!2MDいつ
A-ATJ4.UG3DK9U	あ-あTJ4.うG3DK9う
A-ATNMM.AN969G	あ-あTんMM.あん969G
A-AW!U-NMA-EZZ	あ-あW!う-んま-えZZ
A-AY.TBUZ3WTUG	あ-あY.TぶZ3WつG
A-AZ.YPU4EDTUZ	あ-あZ.Yぷ4えDつZ
A-AI3N-G.SS-DY	あ-あい3ん-G.SS-DY
A-AIN!TK0-3JNG	あ-あいん!TK0-3JんG
A-AU-JA-EUK-9U	あ-あう-じゃ-えうK-9う
A-AU60NG-KMJD!	あ-あう60んG-KMJD!
A-AU7NNNJM3B-!	あ-あう7んんんJM3B-!
A-AUD2NTBT4-M!	あ-あうD2んTBT4-M!
A-AUKG3RR4N3M.	あ-あうKG3RR4ん3M.
A-AUSN-R7.RPSG	あ-あうSん-R7.RPSG
A-AUU.B-7.RPSG	あ-あうう.B-7.RPSG
A-AUU.PRI-4.SE	あ-あうう.Pり-4.せ
A-AUU.WR-D2.SE	あ-あうう.WR-D2.せ
A-AE!B.GK0-9NJ	あ-あえ!B.GK0-9んJ
A-AET44PT-MKG!	あ-あえT44PT-MKG!
A-AEYM7G.K5KN0	あ-あえYM7G.K5Kん0
A-AOM.9ODUM-G.	あ-あおM.9おDうM-G.
A-AOMYZ2UTG.UR	あ-あおMYZ2うTG.うR
A-AGI8.75MDN.M	あ-あぎ8.75MDん.M
A-AKUA-SU!J-YG	あ-あくあ-す!J-YG
A-AZOM.!DRPUUU	あ-あぞM.!DRぷうう
A-ATO9G-KUP.SU	あ-あと9G-くP.す
A-ANI0R3NM0DN-	あ-あに0R3んM0Dん-
A-ANIYG!.5IJG!	あ-あにYG!.5いJG!
A-ANU4B.W-SZKG	あ-あぬ4B.W-SZKG
A-ANUP1.-DRTUZ	あ-あぬP1.-DRつZ
A-AME4-2RTTMN4	あ-あめ4-2RTTMん4
A-AYUOG-US8DT-	あ-あゆおG-うS8DT-
A-AROGST..4MYS	あ-あろGST..4MYS
A-AN.!D!8ZIBNG	あ-あん.!D!8じBんG
A-AN.P2UP.NDMZ	あ-あん.P2うP.んDMZ
A-AN.EMB7UK9N0	あ-あん.えMB7うK9ん0
A-AN8GM9EW5NK-	あ-あん8GM9えW5んK-
A-ANK.DGE!J6-!	あ-あんK.Dげ!J6-!
A-ANM!6KGK0UJT	あ-あんM!6KGK0うJT
A-ANMJJE.!!Y4E	あ-あんMJJえ.!!Y4え
A-ANT4NHE9NZ9M	あ-あんT4んへ9んZ9M
A-ANT9EGH9NZ9M	あ-あんT9えGH9んZ9M
A-ANTSB9ZKPNU.	あ-あんTSB9ZKPぬ.
A-ANTUW9EEW.D.	あ-あんつW9ええW.D.
A-ANMINWG9G9S0	あ-あんみんWG9G9S0
A-ANN7MJTD0N3-	あ-あんん7MJTD0ん3-
A-ANNK0JDE2!-.	あ-あんんK0JDえ2!-.
A-I..6RMG.Z-DA	あ-い..6RMG.Z-Dあ
A-I.SROU4ME.RS	あ-い.Sろう4め.RS
A-I.PEWUGR8MGZ	あ-い.ぺWうGR8MGZ
A-I0TDMR2TTN4E	あ-い0TDMR2TTん4え
A-I0WB0GNKNG3-	あ-い0WB0GんKんG3-
A-I0U7I4NGUMHN	あ-い0う7い4んぐMHん
A-I0GINN4U7THN	あ-い0ぎんん4う7THん
A-I1K4!NENWZNG	あ-い1K4!ねんWZんG
A-I1UWRUET.PNU	あ-い1うWるえT.Pぬ
A-I50S900J5Z5M	あ-い50S900J5Z5M
A-I52JNNBYNGZ!	あ-い52JんんBYんGZ!
A-I5TT-2ND4ITG	あ-い5TT-2んD4いTG
A-I6--SGEUHM-Z	あ-い6--SげうHM-Z
A-I6GM.9EJNM2U	あ-い6GM.9えJんM2う
A-I8MYGZHGG59M	あ-い8MYGZHGG59M
A-I8EUMGKJG7Z!	あ-い8えうMGKJG7Z!
A-I8WE.E8MGKG!	あ-い8ゑ.え8MGKG!
A-I9EMMN.1WG8G	あ-い9えMMん.1WG8G
A-I9N.A6MG!DGZ	あ-い9ん.あ6MG!DGZ
A-IDU0G.8IHGM!	あ-いDう0G.8いHGM!
A-IG0NJPK5.IG!	あ-いG0んJPK5.いG!
A-IGJ-3G9IN5MZ	あ-いGJ-3G9いん5MZ
A-IGJ0-DJM4.E0	あ-いGJ0-DJM4.え0
A-IGJKA0SNG9-!	あ-いGJか0SんG9-!
A-IGMK5WUKE8N0	あ-いGMK5Wうけ8ん0
A-IGZTWGZE0I-Z	あ-いGZTWGぜ0い-Z
A-IJ7NG57M-UGJ	あ-いJ7んG57M-うGJ
A-IJK8G.-KE!5E	あ-いJK8G.-け!5え
A-IKSMI38GM0.G	あ-いKSみ38GM0.G
A-IM8-7UGB0JNG	あ-いM8-7うGB0JんG
A-IMD3!.N8EIGZ	あ-いMD3!.ん8えいGZ
A-IR0TG.GO.ROT	あ-いR0TG.ご.ろT
A-IRS-N1UP.MJG	あ-いRS-ん1うP.MJG
A-IS3.I.-GREEY	あ-いS3.い.-GれえY
A-IT2EB9TGURM!	あ-いT2えB9TぐRM!
A-ITSD.UAY0MUJ	あ-いTSD.うあY0むJ
A-IYEY3N-DUZSE	あ-いYえY3ん-DうZせ
A-IZNT13NMMJ9G	あ-いZんT13んMMJ9G
A-IA-E.U6ZTMMZ	あ-いあ-え.う6ZTMMZ
A-IAMGK04N6UN-	あ-いあMGK04ん6うん-
A-II9RNN5K0NSE	あ-いい9Rんん5K0んせ
A-IIKKG0.3M0SG	あ-いいKKG0.3M0SG
A-IIOUUGGW!ZD.	あ-いいおううGGW!ZD.
A-IUS-DEHUYRN0	あ-いうS-DえふYRん0
A-IUSM3STKH.D.	あ-いうSM3STKH.D.
A-IUSYPS3GNSTY	あ-いうSYPS3GんSTY
A-IUZR8ZRBSUTG	あ-いうZR8ZRBすTG
A-IUYOEGP.T9SU	あ-いうよえGP.T9す
A-IE.RIN.U5WDS	あ-いえ.りん.う5WDS
A-IE0SISNT-H.-	あ-いえ0しSんT-H.-
A-IE8G56K.MGK-	あ-いえ8G56K.MGK-
A-IEG9TM9JJSN0	あ-いえG9TM9JJSん0
A-IEK9.75NKEGZ	あ-いえK9.75んけGZ
A-IENG7.JKY55M	あ-いえんG7.JKY55M
A-IO.R!TSUEKNJ	あ-いお.R!TすえKんJ
A-IO4!NK0NKEGZ	あ-いお4!んK0んけGZ
A-IOUSPD0M.ND.	あ-いおうSPD0M.んD.
A-IGEMRN7NJ30-	あ-いげMRん7んJ30-
A-ISEY03NMMJ9G	あ-いせY03んMMJ9G
A-INING.PA9N!5	あ-いにんG.ぱ9ん!5
A-IRUWS7-NJUEG	あ-いるWS7-んじゅえG
A-IRUY2U.PS.EE	あ-いるY2う.PS.ええ
A-IWEZ-!IZS.EG	あ-いゑZ-!いZS.えG
A-IN!KE3E0JR.M	あ-いん!け3え0JR.M
A-IN0T-EBWZGZZ	あ-いん0T-えBWZGZZ
A-IN1P-Z-NSZEM	あ-いん1P-Z-んSぜM
A-IN3!6GANRMN-	あ-いん3!6がんRMん-
A-IN5AY4NJSNM!	あ-いん5あY4んJSんM!
A-IN60MEGRD8M.	あ-いん60めGRD8M.
A-IN6U4GBNZJM!	あ-いん6う4GBんZJM!
A-INDM-D00JG8S	あ-いんDM-D00JG8S
A-INN2MG!..KA1	あ-いんん2MG!..か1
A-U!GPT.JJITJS	あ-う!GPT.JじTJS
A-U!KN26JMEZKG	あ-う!Kん26JめZKG
A-U!R5513N.S91	あ-う!R5513ん.S91
A-U!YGWGA-PNJS	あ-う!YGWが-PんJS
A-U!UH-YUARRSE	あ-う!うH-ゆあRRせ
A-U!E92MGJNWHN	あ-う!え92MGJんWHん
A-U!RAMYHDUGZZ	あ-う!らMYHDうGZZ
A-U!RAY.KIESGZ	あ-う!らY.きえSGZ
A-U-G!8I!AEKNJ	あ-う-G!8い!あえKんJ
A-U-HMUBR3O-UU	あ-う-HむBR3お-うう
A-U-PRN3UATO.M	あ-う-PRん3うあと.M
A-U-R.HSBZM3KG	あ-う-R.HSBZM3KG
A-U-T4YUHPEJSU	あ-う-T4ゆHぺJす
A-U-UWSD5YYASG	あ-う-うWSD5YやSG
A-U-UOSJ-RBNU2	あ-う-うおSJ-RBぬ2
A-U-OD4YZA.TSG	あ-う-おD4Yざ.TSG
A-U-BOEGU7YP.U	あ-う-ぼえぐ7YP.う
A-U.3BKUPZS-PG	あ-う.3BくPZS-PG
A-U.GMH7J0IGD!	あ-う.GMH7J0いGD!
A-U.GRIYP5SYES	あ-う.GりYP5SYえS
A-U.HWO.GZN8JG	あ-う.Hを.GZん8JG
A-U.P9ROGISTGZ	あ-う.P9ろぎSTGZ
A-U.RPNGGOZ7PT	あ-う.RPんGごZ7PT
A-U.RTPJN5ZPDS	あ-う.RTPJん5ZPDS
A-U.RWBGOA.T!U	あ-う.RWBごあ.T!う
A-U.RYSE3DAT-Z	あ-う.RYせ3DあT-Z
A-U.S-D9ZAEYKE	あ-う.S-D9ざえYけ
A-U.S1BD.TIYSU	あ-う.S1BD.ちYす
A-U.SMT67SZ051	あ-う.SMT67SZ051
A-U.SPKGS.2WDS	あ-う.SPKGS.2WDS
A-U.STDR3HES-Y	あ-う.STDR3へS-Y
A-U.ZG.HJH.1D.	あ-う.ZG.HJH.1D.
A-U.AYZUNJZ6JG	あ-う.あYずんJZ6JG
A-U.AUE!-URRWA	あ-う.あうえ!-うRRわ
A-U.IH8IGE4NM!	あ-う.いH8いげ4んM!
A-U.UTROSMJI4S	あ-う.うTろSMじ4S
A-U.UTYAHIMN2U	あ-う.うちゃひMん2う
A-U.ODMGZWPU2U	あ-う.おDMGZWぷ2う
A-U.SURIUZBI2U	あ-う.すりうZび2う
A-U.RUHSA5D-TY	あ-う.るHさ5D-TY
A-U00JIDGMJZD!	あ-う00じDGMJZD!
A-U01D515!3.YU	あ-う01D515!3.ゆ
A-U0953AR5U8T0	あ-う0953あR5う8T0
A-U098U5EU7S32	あ-う098う5えう7S32
A-U0P0U8044O5G	あ-う0P0う8044お5G
A-U0YSSEPJDNK-	あ-う0YSせPJDんK-
A-U0UOTYTIPUGJ	あ-う0うおTYちぷGJ
A-U0MOGRRWSUEY	あ-う0もGRRWすえY
A-U0RU4DKANR8G	あ-う0る4DかんR8G
A-U0REJ0!KHMKG	あ-う0れJ0!KHMKG
A-U1RR-N.IATSU	あ-う1RR-ん.いあTす
A-U1RRSGH-UE-Y	あ-う1RRSGH-うえ-Y
A-U1T558T488GZ	あ-う1T558T488GZ
A-U1TMD.HYNSYE	あ-う1TMD.HYんSYえ
A-U2AST.KRDZUZ	あ-う2あST.KRDずZ
A-U2TEJ.RRUHS-	あ-う2てJ.RるHS-
A-U2HUYGTPDZUZ	あ-う2ふYGTPDずZ
A-U3.TDPRAZMUZ	あ-う3.TDPらZむZ
A-U32S829N5U5Z	あ-う32S829ん5う5Z
A-U3DTOUMRYEZZ	あ-う3DとうMRYえZZ
A-U3SDSSYY.BE-	あ-う3SDSSYY.べ-
A-U3ATZYNSSDTY	あ-う3あTZYんSSDTY
A-U48!U635HN5M	あ-う48!う635Hん5M
A-U4BT.HNEY.HT	あ-う4BT.HねY.HT
A-U4GH.OIUSTTY	あ-う4GH.おいうSTTY
A-U4YT38GNRKGA	あ-う4YT38GんRKが
A-U4Z.YASSD-PG	あ-う4Z.やSSD-PG
A-U4ISNPZWPGUU	あ-う4いSんPZWPぐう
A-U53.T137JU!5	あ-う53.T137じゅ!5
A-U545N4037ZHN	あ-う545ん4037ZHん
A-U58.T013Y45E	あ-う58.T013Y45え
A-U5HWGNNPBR.-	あ-う5HWGんんPBR.-
A-U5PZEKYPU.BU	あ-う5PぜKYぷ.ぶ
A-U5Z.BKYSRPSG	あ-う5Z.BKYSRPSG
A-U6052M0!AZN0	あ-う6052M0!あZん0
A-U6JTNUASTRTY	あ-う6JTぬあSTRTY
A-U6STAY-500S0	あ-う6SたY-500S0
A-U6E3353.T9T0	あ-う6え3353.T9T0
A-U79S6NNMBNKE	あ-う79S6んんMBんけ
A-U7UHGYNAETY-	あ-う7うHGYなえTY-
A-U7OAUU-D-.BU	あ-う7おあうう-D-.ぶ
A-U8.PETEYISUR	あ-う8.ぺてYいすR
A-U80.45ERY551	あ-う80.45えRY551
A-U8STD501309U	あ-う8STD501309う
A-U8U56R29U5E0	あ-う8う56R29う5え0
A-U8HIGMG8M!EY	あ-う8ひGMG8M!えY
A-U94IENMI6NGZ	あ-う94いえんみ6んGZ
A-U97JG9MEHMGZ	あ-う97JG9めHMGZ
A-U9P.SENAURWT	あ-う9P.せなうRWT
A-UB7INN.!J7EG	あ-うB7いんん.!J7えG
A-UB7UANRTW.SU	あ-うB7うあんRTW.す
A-UBSWK!PUJUSU	あ-うBSWK!ぷじゅす
A-UBTZ3.NRWBSU	あ-うBTZ3.んRWBす
A-UBROUE9ZIUU-	あ-うBろうえ9じうう-
A-UD!JY3GP3RNG	あ-うD!JY3GP3RんG
A-UD6YRNDG93SG	あ-うD6YRんDG93SG
A-UDDJS7UPZSU-	あ-うDDJS7うPZす-
A-UDJZU9WSSPTG	あ-うDJず9WSSPTG
A-UDMTB-E4P!9E	あ-うDMTB-え4P!9え
A-UDO0AD-UZ.KM	あ-うDお0あD-うZ.KM
A-UDBOZU.TB7.U	あ-うDぼず.TB7.う
A-UDRAJG94-3.G	あ-うDらJG94-3.G
A-UDWIUZPG7USU	あ-うDゐうZPG7うす
A-UG34UDNA8-DY	あ-うG34うDな8-DY
A-UG35U25396-Z	あ-うG35う25396-Z
A-UG3SRWGW-TJS	あ-うG3SRWGW-TJS
A-UGKJBZ60MKG!	あ-うGKJBZ60MKG!
A-UGTJP6P.ZDTU	あ-うGTJP6P.ZDつ
A-UH!--SEZHBM.	あ-うH!--せZHBM.
A-UH!TSHMJ-E-Z	あ-うH!TSHMJ-え-Z
A-UH!PU.NGROPT	あ-うH!ぷ.んGろPT
A-UHGJKU5H!M9M	あ-うHGJく5H!M9M
A-UHMJN5G9EW9M	あ-うHMJん5G9えW9M
A-UHSD8GPT-NJ-	あ-うHSD8GPT-んJ-
A-UJ-TATORGR.0	あ-うJ-たとRGR.0
A-UJ.4TZYRBSES	あ-うJ.4TZYRBせS
A-UJ9RWDDU3N5G	あ-うJ9RWDDう3ん5G
A-UJG.P-2HSGK-	あ-うJG.P-2HSGK-
A-UJMGB8HNYM!5	あ-うJMGB8HんYM!5
A-UJGAM-77GN8M	あ-うJがM-77Gん8M
A-UJN8-9EIEIG!	あ-うJん8-9えいえいG!
A-UK016ENM-KKG	あ-うK016えんM-KKG
A-UK0IJGJ!SE9M	あ-うK0いJGJ!せ9M
A-UK84U1D.D.BG	あ-うK84う1D.D.BG
A-UKMSHZIMTZS0	あ-うKMSHじMTZS0
A-UKWGOUUPSM5Y	あ-うKWごううPSM5Y
A-UKGUI-WHUN1T	あ-うKぐい-Wふん1T
A-UM!3603GB3.0	あ-うM!3603GB3.0
A-UM0BI3K0KNGZ	あ-うM0び3K0KんGZ
A-UM3J0DI0MINU	あ-うM3J0Dい0みぬ
A-UM6JE2M.M9JG	あ-うM6Jえ2M.M9JG
A-UM81!0N8G14S	あ-うM81!0ん8G14S
A-UMJ4H0NGMA9-	あ-うMJ4H0んGま9-
A-UMM!WZDHZZSE	あ-うMM!WZDHZZせ
A-UMRP.EG0JY-A	あ-うMRP.えG0JY-あ
A-UMRPNOGTO..2	あ-うMRPのGと..2
A-UMSMMNWW6ZES	あ-うMSMMんWW6ぜS
A-UMTT2DP4E0KM	あ-うMTT2DP4え0KM
A-UMWWIEZZN!SE	あ-うMWゐえZZん!せ
A-UP-J-SURU3MA	あ-うP-J-する3ま
A-UP4R3NK3.BNG	あ-うP4R3んK3.BんG
A-UPD6.UGWRES-	あ-うPD6.うGWれS-
A-UPGNYWDONM5Z	あ-うPGんYWDおんM5Z
A-UPJTG6ZDTRUZ	あ-うPJTG6ZDTるZ
A-UPK7.RRUEZSE	あ-うPK7.RるえZせ
A-UPT!3TG!BBKM	あ-うPT!3TG!BBKM
A-UPYJ2SITS.UG	あ-うPYJ2しTS.うG
A-UPZDZG8BNSK-	あ-うPZDZG8BんSK-
A-UPSUYEKUP5J-	あ-うPすYえくP5J-
A-UPRA9TNSZP.G	あ-うPら9TんSZP.G
A-UPNR!BOWSGU.	あ-うPんR!ぼWSぐ.
A-UR.M5ONYWGMA	あ-うR.M5おんYWGま
A-UR.AI3TPU.E-	あ-うR.あい3Tぷ.え-
A-UR.I5U-PGPON	あ-うR.い5う-PGぽん
A-UR5RBZTOTN.J	あ-うR5RBZとTん.J
A-URGJD3N4GW9S	あ-うRGJD3ん4GW9S
A-URGS.O-ODD0-	あ-うRGS.お-おDD0-
