JI--3BGMZGJ58M	じ--3BGMZGJ58M
JIIIE8G!0NZRTG	じいいえ8G!0んZRTG
JIIU.1DGEJ0M-!	じいう.1DげJ0M-!
JIIUG62S0MNMD.	じいうG62S0MんMD.
JIIUG!SM6GI0YG	じいうG!SM6ぎ0YG
JIIUJZ0E9MREG!	じいうJZ0え9MれG!
JIIUUN7GP0NAM!	じいううん7GP0なM!
JIIE2SE9Z.N!KG	じいえ2せ9Z.ん!KG
JII-E50J9ND-SG	じい-え50J9んD-SG
JIIE5GPJ.8UMM!	じいえ5GPJ.8うMM!
JIIEGJGPK.!50-	じいえGJGPK.!50-
JIIEGP.75U0NKM	じいえGP.75う0んKM
JIIEHT!GKG4.0Z	じいえHT!GKG4.0Z
JIIEA0K5MY!UG.	じいえあ0K5MY!うG.
JIIEMOY5!GNN5Y	じいえもY5!Gんん5Y
JIION0UDM.K!5E	じいおん0うDM.K!5え
JIIZU0ESKN3DM!	じいず0えSKん3DM!
JIISUMNN96DS5M	じいすMんん96DS5M
JIIZUEGKK!1NT0	じいずえGKK!1んT0
JIITEWKUUM3SUZ	じいてWくうM3すZ
JIINE5KKGT07UZ	じいね5KKGT07うZ
JIIN5TA6UNKG-!	じいん5た6うんKG-!
JIINNM2N5RD5ZZ	じいんんM2ん5RD5ZZ
JIU-0SGBHN3!KM	じう-0SGBHん3!KM
JIU-!1GNNJA!IT	じう-!1Gんんじゃ!いT
JI-U3NBM.A0K5M	じ-う3んBM.あ0K5M
JIU-4DG3U9ZUDA	じう-4DG3う9ずDあ
JIU-6N-G!I2ANG	じう-6ん-G!い2あんG
JIU-77NM8EZDEG	じう-77んM8えZDえG
JIU-7EGA.70MKG	じう-7えが.70MKG
JI-U8MM73EBZNG	じ-う8MM73えBZんG
JI-UB!!HNG4NZA	じ-うB!!HんG4んざ
JIU-BTSSOD8U-U	じう-BTSそD8う-う
JI-U!.KZB.ERZA	じ-う!.KZB.えRざ
JIU-M5E2NKNO8M	じう-M5え2んKの8M
JIU-RN3DR5K3SG	じう-Rん3DR5K3SG
JIU-.TBNTUPUO1	じう-.TBんつぷお1
JIUA.GH0J...PS	じうあ.GH0J...PS
JIUAE.975M-MJG	じうあえ.975M-MJG
JIUAEJ9NM5S!K-	じうあえJ9んM5S!K-
JIUA!N7W!TEJNG	じうあ!ん7W!てJんG
JIUI.0KM58REEM	じうい.0KM58れえM
JIUI4-0NKM5EJS	じうい4-0んKM5えJS
JIUI4U-USSWRES	じうい4う-うSSWれS
JIUI4GO2RU.G9G	じうい4ご2る.G9G
JIUI7EMZGT8!JG	じうい7えMZGT8!JG
JIUI7EM.UI5!JG	じうい7えM.うい5!JG
JIUIG.E6UMH!D!	じういG.え6うMH!D!
JIUIMS2UNK5!HN	じういMS2うんK5!Hん
JIUIUG!Y0!MNAA	じういうG!Y0!Mなあ
JIUU05MJBWMM8G	じうう05MJBWMM8G
JIUU3N8DPKGU2T	じうう3ん8DPKぐ2T
JIUU43U3GKMR-A	じうう43う3GKMR-あ
JIUU4PNDY5RJ5G	じうう4PんDY5RJ5G
JIUU4UYB26UGKG	じうう4うYB26うGKG
JIUU516U445Z5-	じうう516う445Z5-
JIUU66NENMBD!-	じうう66ねんMBD!-
JIUUD09ENIIZ5M	じううD09えにいZ5M
JIUUG!34TJYRGA	じううG!34TJYRが
JIUU-M!9EN2HAN	じうう-M!9えん2はん
JIUU-R5RUBZSHT	じうう-R5るBZSHT
JIUUSS.-WU4ATB	じううSS.-Wう4あTB
JIUUWWER5MNSYE	じううWゑR5MんSYえ
JI-U.UZBGK-7ZA	じ-う.うZBGK-7ざ
JI-U.UZDZMB9ZA	じ-う.うZDZMB9ざ
JIUUE-.G8BAWT-	じううえ-.G8ばWT-
JIUUNS9J7I!EEM	じううんS9J7い!ええM
JI-UE47IJUMEN0	じ-うえ47いじゅめん0
JIUE-R4OS-GSSY	じうえ-R4おS-GSSY
JIUE-TKZUA9YES	じうえ-TKずあ9YえS
JIUETTTZRRZO8G	じうえTTTZRRぞ8G
JI-UEY3G8MEHM!	じ-うえY3G8めHM!
JIUEYSPNT1T.RS	じうえYSPんT1T.RS
JIUEZD8AUKM0M!	じうえZD8あうKM0M!
JIUE!OZDD-YSGZ	じうえ!おZDD-YSGZ
JIUEOZMDR0U-KS	じうえおZMDR0う-KS
JIUE!SI9N0OMKG	じうえ!し9ん0おMKG
JIUEN91BNNM0WT	じうえん91BんんM0WT
JIUE-NNBA!9J5-	じうえ-んんば!9J5-
JIUO!USMP.GAMY	じうお!うSMP.がMY
JIUOO.-5TERTYG	じうおお.-5てRTYG
JIUOOSKUT-0RTG	じうおおSくT-0RTG
JIUKAG!ZZ!BM8G	じうかG!ZZ!BM8G
JIUGAWGGM90I0-	じうがWGGM90い0-
JIUGI5DJ!N6TMZ	じうぎ5DJ!ん6TMZ
JIUKI5EEK70G-.	じうき5ええK70G-.
JIUGIAG-8MN7T0	じうぎあG-8Mん7T0
JIUKU44RG5HEYU	じうく44RG5へゆ
JIUGE8!6DMEZK-	じうげ8!6DめZK-
JIUGENU70.!IIB	じうげぬ70.!いいB
JIU-ZAM4JG0K5M	じう-ざM4JG0K5M
JIUSAUUH-9TYEM	じうさううH-9ちぇM
JIUSUD4.K1G2YG	じうすD4.K1G2YG
JIUSEE7R!0JNKM	じうせえ7R!0JんKM
JIUZOSU-RRR5EM	じうぞす-RRR5えM
JIUTUBJU0WTPSU	じうつBじゅ0WTPす
JI-UNI159ENBM.	じ-うに159えんBM.
JIUNE34DR.E3TY	じうね34DR.え3TY
JIUHI-GE99N-5E	じうひ-げ99ん-5え
JIUBUU3D94ZPNG	じうぶう3D94ZPんG
JIUPEEM0-9JM8G	じうぺえM0-9JM8G
JIUMINU0GA2J!-	じうみぬ0が2J!-
JIUYUDUKO9D55G	じうゆDうこ9D55G
JIUN02MUN!ZDHB	じうん02むん!ZDHB
JIUN1EMP7!KEN.	じうん1えMP7!けん.
JIUN4GNRP51RYG	じうん4GんRP51RYG
JIUN8DIRE5D.N4	じうん8Dいれ5D.ん4
JIUNBGZ7.AKM!5	じうんBGZ7.あKM!5
JIUND5NZ!T8IMA	じうんD5んZ!T8いま
JIU-NGB2!7HNGZ	じう-んGB2!7HんGZ
JIUNGMRKHI0S!5	じうんGMRKひ0S!5
JIUNGWGE02H!K-	じうんGWげ02H!K-
JIUNK01KU5WMEM	じうんK01く5WめM
JIUNMJE1E9MT8-	じうんMJえ1え9MT8-
JIUNRMM56AKG!Z	じうんRMM56あKG!Z
JIUNRUK262DGUU	じうんるK262Dぐう
JIUNN526DMEZK-	じうんん526DめZK-
JIUNN!7T!YEEJA	じうんん!7T!Yええじゃ
JI-E.1N-J2N!DE	じ-え.1ん-J2ん!Dえ
JI-E8S7-MJ9GEG	じ-え8S7-MJ9げG
JIE-9D9AGMG0ZZ	じえ-9D9あGMG0ZZ
JI-E9MNDG6EYS0	じ-え9MんDG6えYS0
JI-EGMJHD.4-05	じ-えGMJHD.4-05
JIE-HHGNN!R!2U	じえ-HHGんん!R!2う
JIE-K!JE.2DN5Z	じえ-K!Jえ.2Dん5Z
JIE-M0M8BGH4U.	じえ-M0M8BGH4う.
JIE-MMGW8EN82U	じえ-MMGW8えん82う
JIE-MNN3MSK64S	じえ-Mんん3MSK64S
JIE-PR009JNMEG	じえ-PR009JんめG
JIE-Z5NNN82DIT	じえ-Z5んんん82DいT
JIEA2!Z!NKDNUZ	じえあ2!Z!んKDぬZ
JIEA7Y-GN95GMZ	じえあ7Y-Gん95GMZ
JIEAGR0DNNW!!Z	じえあGR0DんんW!!Z
JIEAU!NJM!7DUZ	じえあう!んJM!7DうZ
JIEI29NSEMN0YU	じえい29んせMん0ゆ
JIEI6NT4N.TJ5M	じえい6んT4ん.TJ5M
JIEI8NGR8ZMT5M	じえい8んGR8ZMT5M
JIEI9GSBNZZ!N4	じえい9GSBんZZ!ん4
JIEI!9NG.BGZ6T	じえい!9んG.BGZ6T
JIEIM80JPMUU!G	じえいM80JPむう!G
JIEIRT8B.ES-U.	じえいRT8B.えS-う.
JIEIS.G5KNI95-	じえいS.G5Kに95-
JIEISTEKZ-S!ZZ	じえいSてKZ-S!ZZ
JIEIT5E9P.NN!J	じえいT5え9P.んん!J
JIEI.TMM83ZE9G	じえい.TMM83ぜ9G
JIEIIU5ZR.UTEY	じえいいう5ZR.うてY
JIEIYU!M7.JE5G	じえいゆ!M7.Jえ5G
JIEIN40!RZEZKG	じえいん40!RぜZKG
JIEU0KTHN20-KG	じえう0KTHん20-KG
JIEU.0OTGPURWT	じえう.0おTGぷRWT
JIEU3M.K7ZGI5M	じえう3M.K7Zぎ5M
JIEU!DUHI00-KG	じえう!Dうひ00-KG
JIEUJ7G90PMNE-	じえうJ7G90PMね-
JIEUKK4UTUR18G	じえうKK4うつR18G
JIEUMT6RON.-BU	じえうMT6ろん.-ぶ
JIEUT1NK-JM6G!	じえうT1んK-JM6G!
JIEUA-M7NM9N1U	じえうあ-M7んM9ん1う
JIEUMO4DWTUNZZ	じえうも4DWつんZZ
JIEUN70!KWUKEE	じえうん70!KWうけえ
JIEUNJJZ.3SO.-	じえうんJJZ.3そ.-
JIEE172NNMUY.M	じええ172んんむY.M
JI-EE.90DEKJ5-	じ-ええ.90DえKJ5-
JIEEB9.GHM.9T0	じええB9.GHM.9T0
JIEEBYANN-0!9U	じええBやんん-0!9う
JI--EE!HZYTZES	じ--ええ!HZYTぜS
JIEEST!4INN8J-	じええST!4いんん8J-
JIEEY!N59JENWT	じええY!ん59JえんWT
JIEEZR9NEB0.9M	じええZR9ねB0.9M
JIEEERN96TJ!N-	じえええRん96TJ!ん-
JIEE!NZH29NGTY	じええ!んZH29んGTY
JIEO80!MZUDMKG	じえお80!MずDMKG
JIEOR!MMZN!3JG	じえおR!MMZん!3JG
JI-EGIG!HS9RN0	じ-えぎG!HS9Rん0
JIEGIH07!G-UYG	じえぎH07!G-うYG
JIEGIEG7Y0ZM9U	じえぎえG7Y0ZM9う
JIEKIEU!N01-YG	じえきえう!ん01-YG
JIEGE8TK0Z7DN-	じえげ8TK0Z7Dん-
JIE-ZASY3TG-D.	じえ-ざSY3TG-D.
JIE-ZUNSA9TPD.	じえ-ずんさ9TPD.
JIEZETNGY76!KG	じえぜTんGY76!KG
JI-ESEO-S-0I.M	じ-えせお-S-0い.M
JI-E.TE6GB!9NJ	じ-え.て6GB!9んJ
JIENA.5KM.P!9E	じえな.5KM.P!9え
JIE-NA9N--9A5G	じえ-な9ん--9あ5G
JIENAMZ-U8M49E	じえなMZ-う8M49え
JIENATZ9M95ZKG	じえなTZ9M95ZKG
JIENAE4M!Y.1.M	じえなえ4M!Y.1.M
JIENI04TKG0-JS	じえに04TKG0-JS
JIENUMUWTMUYO1	じえぬむWTむよ1
JIENEM4T5KZ8J-	じえねM4T5KZ8J-
JIENOJ8TMG3M!-	じえのJ8TMG3M!-
JIEBUWND.65NM!	じえぶWんD.65んM!
JI-EPUUPGP.2UZ	じ-えぷうPGP.2うZ
JIEMINU!6D0DUZ	じえみぬ!6D0DうZ
JIEMUGPD.TWZ8S	じえむGPD.TWZ8S
JIEN1MM87UWGMU	じえん1MM87うWGむ
JIEN2J.N-0E4IT	じえん2J.ん-0え4いT
JIEN3MIMNRU1Z!	じえん3みMんる1Z!
JIEN4!KS0AZGK-	じえん4!KS0あZGK-
JIEN4HUE!BN9-Z	じえん4ふえ!Bん9-Z
JIE-N50KK4ZEEY	じえ-ん50KK4ぜえY
JIE-N50YDM3THN	じえ-ん50YDM3THん
JIEN5MUJMTH79U	じえん5むJMTH79う
JIEN7GMZ.R3AM!	じえん7GMZ.R3あM!
JIEN8M-3WME.2G	じえん8M-3Wめ.2G
JIEN8EGM9NP2-Z	じえん8えGM9んP2-Z
JIEN!8O9MTNEYE	じえん!8お9MTねYえ
JIEN90T2TGIZNJ	じえん90T2TぎZんJ
JIEN!B6MT4SN.J	じえん!B6MT4Sん.J
JIENBM7Y.G3E0-	じえんBM7Y.G3え0-
JIEND5N.0A9IT-	じえんD5ん.0あ9いT-
JIENDYKO!GZM05	じえんDYこ!GZM05
JIENGK02Z9WMSG	じえんGK02Z9WMSG
JIENGSNI-K3!6T	じえんGSに-K3!6T
JIENG.KIUB200-	じえんG.きうB200-
JIEN!-H-26UGKG	じえん!-H-26うGKG
JIENHG797TZGMU	じえんHG797TZGむ
JIENJE0-4KUA!-	じえんJえ0-4くあ!-
JIENMWWDZN559G	じえんMWWDZん559G
JIENRHJMG0UT7!	じえんRHJMG0うT7!
JIENRM5YKT0N6E	じえんRM5YKT0ん6え
JIE-NS7NR1JMG!	じえ-んS7んR1JMG!
JIEN!-S9I5SJKG	じえん!-S9い5SJKG
JIENT0NJR50BMY	じえんT0んJR50BMY
JIENWDOGMN!2.0	じえんWDおGMん!2.0
JIEN!WUA0DTN!J	じえん!Wうあ0DTん!J
JIENZ51KPMMN9U	じえんZ51KPMMん9う
JIENZTKT07BN8G	じえんZTKT07Bん8G
JIEN!IUEZ3!WKG	じえん!いうえZ3!WKG
JIENNOT!73MINU	じえんのT!73みぬ
JIENNSW6DM54N-	じえんんSW6DM54ん-
JI-O-GJY!NTUZA	じ-お-GJY!んつざ
JIO-GJ!!UIM8EG	じお-GJ!!ういM8えG
JIOIGG00NYTE9M	じおいGG00んYて9M
JIOU4GN0H!BMN-	じおう4Gん0H!BMん-
JIOUR5TBNUZWTU	じおうR5TBぬZWつ
JIOUUNJSJ8Z.E-	じおううんJSJ8Z.え-
JIOEK!.UK5J!EM	じおえK!.うK5J!えM
JIOE!ZN9P9NMEG	じおえ!Zん9P9んめG
JIOEUUUTB-7RUZ	じおえうううTB-7るZ
JIO-GU1TURPMUZ	じお-ぐ1つRPむZ
JIOGEDN4-HN0-!	じおげDん4-Hん0-!
JIOJA!!NGET.9M	じおじゃ!!んげT.9M
JIOZUKBMN0G59M	じおずKBMん0G59M
JIOTUY1MUPZTUG	じおつY1むPZつG
JIONAM!MO!NUN4	じおなM!も!ぬん4
JIORU3DGYG5G9-	じおる3DGYG5G9-
JION0M8PTG0MKG	じおん0M8PTG0MKG
JIONGM3GIGW0-!	じおんGM3ぎGW0-!
JIONH95TNYMEG!	じおんH95TんYめG!
JIONKM05S5YGKM	じおんKM05S5YGKM
JIONMNET60G4K-	じおんMねT60G4K-
JION.E!G!IMA9U	じおん.え!G!いま9う
JIGAUNMW0!DD0Z	じがうんMW0!DD0Z
JIGIURSSW4TSUZ	じぎうRSSW4TすZ
JIGIOB0M-.9N5G	じぎおB0M-.9ん5G
JIGIKES35Y0M.M	じぎけS35Y0M.M
JIGITU0K5IN0EY	じぎつ0K5いん0えY
JIGINWMU520NEY	じぎんWむ520ねY
JIGU-MP0EK9JE0	じぐ-MP0えK9Jえ0
JIGU-SDUOI0-YE	じぐ-SDうおい0-Yえ
JIKUUT0MIN2JE0	じくうT0みん2Jえ0
JIGUUI8DN53DK-	じぐうい8Dん53DK-
JIKUEEWYN!A0G!	じくええWYん!あ0G!
JIGUZI!H45IG.M	じぐじ!H45いG.M
JIGUNA6WMG3M!-	じぐな6WMG3M!-
JI-GES8!7I.KEG	じ-げS8!7い.けG
JIGE-SGIW9N6G!	じげ-SぎW9ん6G!
JIGEI79AT!NZ.G	じげい79あT!んZ.G
JIGEIG9.P0M8E-	じげいG9.P0M8え-
JI-GEKEH!N9S5Y	じ-げけH!ん9S5Y
JIKERI!E0MG.8S	じけり!え0MG.8S
JIGENGWN2-A8-!	じげんGWん2-あ8-!
JIGENS3T9JI!MZ	じげんS3T9じ!MZ
JIKENTW28UMEN0	じけんTW28うめん0
JIKEN!IPPNUN05	じけん!いPPぬん05
JIGOI15N-K!MG.	じごい15ん-K!MG.
JIGON.!K70MDES	じごん.!K70MDえS
JIZA-KG8KG5-5M	じざ-KG8KG5-5M
JIZAGE09UIUM9M	じざげ09ういうM9M
JIZI-345NMEI.G	じじ-345んめい.G
JIZIMUS4E0K!JG	じじむS4え0K!JG
JIJA2!GG.N-I5-	じじゃ2!GG.ん-い5-
JIJA2!E.KUGM!Z	じじゃ2!え.くGM!Z
JIJU0JDUIS5MM!	じじゅ0JDういS5MM!
JIJU24UUYGM3DS	じじゅ24ううYGM3DS
JIJU5TKH5NMZD!	じじゅ5TKH5んMZD!
JIJUGMM4KE75ZZ	じじゅGMM4け75ZZ
JIJUI5Y0NR!EEM	じじゅい5Y0んR!ええM
JIJUNYWBE0G5M!	じじゅんYWべ0G5M!
JI-SU2MKAG0KN0	じ-す2MかG0Kん0
JI-SUWUE3TOGTY	じ-すWうえ3とGTY
JISUU1ZRDT-ESY	じすう1ZRDT-えSY
JISUUMSD-P5YHN	じすうMSD-P5YHん
JISUTEUWR8IGMZ	じすてうWR8いGMZ
JISUPUSPGNY2S-	じすぷSPGんY2S-
JISUN-0B7EK!JG	じすん-0B7えK!JG
JISEAGN8-2!.KM	じせあGん8-2!.KM
JIZEE9-M8S2KNG	じぜえ9-M8S2KんG
JIZO-SNKR3GTE-	じぞ-SんKR3Gて-
JITYE3NE-B0N!J	じちぇ3ね-B0ん!J
JITUSIYREK.ES0	じつしYれK.えS0
JITUTO.8TGASTY	じつと.8TがSTY
JITE-A3.M5NK8M	じて-あ3.M5んK8M
JITEN0DHOGN!!Y	じてん0DほGん!!Y
JITEN6UE!DJ0K-	じてん6うえ!DJ0K-
JI-NA5UE!DJ0K-	じ-な5うえ!DJ0K-
JINA-Y-!!EAG8G	じな-Y-!!えあG8G
JINAIG!R6ZTNG!	じないG!R6ZTんG!
JINAN-K2-9N5SE	じなん-K2-9ん5せ
JINI-05DS-9ANG	じに-05DS-9あんG
JINI-49EE5IZG.	じに-49ええ5いZG.
JINIIU!05YGZBG	じにいう!05YGZBG
JINIEDZ9E5JU!-	じにえDZ9え5じゅ!-
JINI-GUIK03!ES	じに-ぐいK03!えS
JINU-!JSYKZSSB	じぬ-!JSYKZSSB
JINUI1H!TMNG5Y	じぬい1H!TMんG5Y
JINUIT5E!YG7HN	じぬいT5え!YG7Hん
JINUU9EG14RRKS	じぬう9えG14RRKS
JINUE!-AB7N0YG	じぬえ!-あB7ん0YG
JINUGAJ2M0.!IT	じぬがJ2M0.!いT
JINUMEH!10KKTU	じぬめH!10KKつ
JINE-4IM0DN0HN	じね-4いM0Dん0Hん
JI-NE7U4!N-NAA	じ-ね7う4!ん-なあ
JINE-JG4!0WEYE	じね-JG4!0ゑYえ
JINE-JE-9I5Y5G	じね-Jえ-9い5Y5G
JI-NEZTYP4.ASG	じ-ねZTYP4.あSG
JINEA.SY0E9MD!	じねあ.SY0え9MD!
JI--NEI91NGE9S	じ--ねい91んげ9S
JINEIJ3UGTH!-!	じねいJ3うGTH!-!
JINE-.U3BTWSYE	じね-.う3BTWSYえ
JINEUAI!S97GN-	じねうあい!S97Gん-
JIHAU6HUU-N.U.	じはう6ふう-ん.う.
JIPANGY5!NEZ9M	じぱんGY5!ねZ9M
JIHEENT!BJ9.!U	じへえんT!BJ9.!う
JI-HENUG4D0H-!	じ-へぬG4D0H-!
JIBEN0.I7NGU7T	じべん0.い7んぐ7T
JI-PEN3GDHN0-!	じ-ぺん3GDHん0-!
JI-PE-N5NJ7K5G	じ-ぺ-ん5んJ7K5G
JIBEN!Z!JN!AUR	じべん!Z!Jん!あうR
JIBONTTSNPJU.!	じぼんTTSんPじゅ.!
JIPONN.2MMG85M	じぽんん.2MMG85M
JIMAUN9.2BENZ!	じまうん9.2べんZ!
JIMANU2BZN0!D.	じまぬ2BZん0!D.
JIMARI0NU0U9EM	じまり0ぬ0う9えM
JIMIU5!KU6GNHT	じみう5!く6GんHT
JIMINU5M76UDGZ	じみぬ5M76うDGZ
JIMIYA3.!!SNEG	じみや3.!!SねG
JIMUE1NHW-!G9G	じむえ1んHW-!G9G
JIMUNIE3-A!RN0	じむにえ3-あ!Rん0
JIMEIH3UG.!KT0	じめいH3うG.!KT0
JIMOE36G.!DM.M	じもえ36G.!DM.M
JA-0BHKNG4!S.M	じゃ-0BHKんG4!S.M
JA-0DZG6-D0MKG	じゃ-0DZG6-D0MKG
JA-0KMMUNH4E3-	じゃ-0KMむんH4え3-
JA-0T07DNSIKNG	じゃ-0T07DんしKんG
JA-0UA-OUGTRTY	じゃ-0うあ-おうGTRTY
JA-0ERUP-GINSY	じゃ-0えるP-ぎんSY
JA-0GUK1I-GJM!	じゃ-0ぐK1い-GJM!
JA--10EMJG4.KM	じゃ--10えMJG4.KM
JA-1D7NUZMMM8G	じゃ-1D7ぬZMMM8G
JA-1G0ME9JM-D.	じゃ-1G0め9JM-D.
JA-1K9ZEUM!ING	じゃ-1K9ぜうM!いんG
JA-1PN!MNAKN!U	じゃ-1Pん!MなKん!う
JA-1TZPTPDU.G.	じゃ-1TZPTPDう.G.
JA-1NNKG.5IB-!	じゃ-1んんKG.5いB-!
JA-2T!NGH3MNJ-	じゃ-2T!んGH3MんJ-
JA-2!N.9ZGIIEG	じゃ-2!ん.9ZぎいえG
JA-2!N.I-E9EJG	じゃ-2!ん.い-え9えJG
JA-2NKEK8E.MT0	じゃ-2んけK8え.MT0
JA-33MNI.MEZD!	じゃ-33Mに.めZD!
JA-3D0EKMZNT8M	じゃ-3D0えKMZんT8M
JA-.3HT0MNDM9E	じゃ-.3HT0MんDM9え
JA-47DZZDNMNE0	じゃ-47DZZDんMね0
JA-54GJ-8MMAM.	じゃ-54GJ-8MまM.
JA-5MJZG9SM7KG	じゃ-5MJZG9SM7KG
JA-5TDU8D3GGYY	じゃ-5TDう8D3GGYY
JA-5T!ZE9NHKKG	じゃ-5T!ぜ9んHKKG
JA-5I9S0KENMD.	じゃ-5い9S0けんMD.
JA-5IGY!EJ0MYG	じゃ-5いGY!えJ0MYG
JA-5MID.M-30JG	じゃ-5みD.M-30JG
JA-7HKKNG!UTE0	じゃ-7HKKんG!うて0
JA-8D0JGMSMZD!	じゃ-8D0JGMSMZD!
JA-8GMG0BWDN0-	じゃ-8GMG0BWDん0-
JA-8RMNMHDG50-	じゃ-8RMんMHDG50-
JA-8UZTERYTUAT	じゃ-8うZてRYつあT
JA-8UNMEJB5M9-	じゃ-8うんめJB5M9-
JA-8OMET!DKNN0	じゃ-8おめT!DKんん0
JA-8NGI6G-BG!-	じゃ-8んぎ6G-BG!-
JA--93ZNMDNB0E	じゃ--93ZんMDんB0え
JA-9RMMS6NN3EM	じゃ-9RMMS6んん3えM
JA-9ZM4UAJENM!	じゃ-9ZM4うあJえんM!
JA-B0NJ4TMZ7NG	じゃ-B0んJ4TMZ7んG
JA-B7UMDNN1M.0	じゃ-B7うMDんん1M.0
JA-BM8!6GTKNGZ	じゃ-BM8!6GTKんGZ
JA-BN!00TKKSJG	じゃ-Bん!00TKKSJG
JA-D-5PRGMZ.ON	じゃ-D-5PRGMZ.おん
JA-DWKSSTGH.U!	じゃ-DWKSSTGH.う!
JA-DAK0.0D5M.M	じゃ-DあK0.0D5M.M
JA-DKI.Y5NM05E	じゃ-Dき.Y5んM05え
JA-DNNA!K-8ET0	じゃ-Dんな!K-8えT0
JA-G!0GANPMJ9-	じゃ-G!0がんPMJ9-
JA-G5.7EB.IN9M	じゃ-G5.7えB.いん9M
JA-G62D-GNH.M!	じゃ-G62D-GんH.M!
JA-!GHN7IUUM9E	じゃ-!GHん7いううM9え
JA-GMS.K2SYAU-	じゃ-GMS.K2しゃう-
JA-GWSUTZ9GROT	じゃ-GWすTZ9GろT
JA-.GZY5HUON.J	じゃ-.GZY5ふおん.J
JA-G!AGZ5YIN9M	じゃ-G!あGZ5Yいん9M
JA--!GJI5RNBN0	じゃ--!Gじ5RんBん0
JA--HBK!GDN.05	じゃ--HBK!GDん.05
JA-HTZRGSSURR!	じゃ-HTZRGSすRR!
JA-HNU9.1DEMM!	じゃ-Hぬ9.1DえMM!
JA-J7N0.M-2DEG	じゃ-J7ん0.M-2DえG
JA-!JBG-ENG78-	じゃ-!JBG-えんG78-
JA-JD0U1-NIGM!	じゃ-JD0う1-にGM!
JA-JG7!MGRIN5Z	じゃ-JG7!MGりん5Z
JA-JG!MP0D0NEY	じゃ-JG!MP0D0ねY
JA-JRTKHN5NM!5	じゃ-JRTKHん5んM!5
JA-JSZNJ.ZDU8S	じゃ-JSZんJ.ZDう8S
JA-JZND02EYGM!	じゃ-JZんD02えYGM!
JA-K-0N3TM7JEG	じゃ-K-0ん3TM7JえG
JA-K2-PUEPSUU.	じゃ-K2-ぷえPすう.
JA-K9AMEMG9.S0	じゃ-K9あめMG9.S0
JA-KM7N.1UI!EG	じゃ-KM7ん.1うい!えG
JA-KZ.MEG73M9E	じゃ-KZ.めG73M9え
JA-KMOG5Z8KGM!	じゃ-KもG5Z8KGM!
JA-KNB4IN5!GZZ	じゃ-KんB4いん5!GZZ
JA-M5-A4MGN8J-	じゃ-M5-あ4MGん8J-
JA--M5!N.K4AAN	じゃ--M5!ん.K4ああん
JA-MGNJ!5P6MYG	じゃ-MGんJ!5P6MYG
JA-MJ1EDNS!9.M	じゃ-MJ1えDんS!9.M
JA-MJ!ENE8YR5M	じゃ-MJ!えね8YR5M
JA-MMRYGE0H!8G	じゃ-MMRYげ0H!8G
