WHIEMD0MU39NGZ	うぃえMD0む39んGZ
WAUIGTT2OG..YS	わういGTT2おG..YS
WAUU.JRBEMA!.-	わうう.JRべま!.-
WAUUB.R!-EUIHN	わううB.R!-えういHん
WAUUDSSW9GS-YE	わううDSSW9GS-Yえ
WAUUDUMWS5WKSU	わううDうMWS5WKす
WAUUDUAUWZTZD!	わううDうあうWZTZD!
WAUUP.8P-DMESU	わううP.8P-Dめす
WAUUPNKZSRRE5-	わううPんKZSRれ5-
WAUURRSRMZ5A.M	わううRRSRMZ5あ.M
WAUUS5PPKUKE.-	わううS5PPくけ.-
WAUUUHTPGR0IU-	わうううHTPGR0いう-
WAUUUBUWKA-5U-	わうううぶWか-5う-
WAUUEMUPP3SNY-	わううえむPP3SんY-
WAUUPETKUSW3N-	わううぺTくSW3ん-
WAUUYOZE9EGTTY	わううよぜ9えGTTY
WAUEP9KNBUZ.E-	わうえP9KんぶZ.え-
WAUESR!U.MRPON	わうえSR!う.MRぽん
WAUEUM4USYWYES	わうえうM4うSYWYえS
WAUEJAT4S.YUT-	わうえじゃT4S.ゆT-
WAUOUG9-WG-BSU	わうおうG9-WG-Bす
WAUSUGRP-1M.EY	わうすGRP-1M.えY
WAUNAPK.ZED-!U	わうなPK.ぜD-!う
WAUNIE5M87G.KM	わうにえ5M87G.KM
WAUNU2451-3.05	わうぬ2451-3.05
WAUNUGD1D.B99U	わうぬGD1D.B99う
WAUNOUUDSP--9E	わうのううDSP--9え
WAUHID0GNGM.7!	わうひD0GんGM.7!
WAUMIUUMJO!UEY	わうみううMじょ!うえY
WAUMU0RD-SEYHN	わうむ0RD-せYHん
WAURE2RNST.JS-	わうれ2RんST.JS-
WAUWIUMOGT.UU2	わうゐうもGT.うう2
WAUN4RN3DU4NHT	わうん4Rん3Dう4んHT
WAUN8!GMBZI!GJ	わうん8!GMBじ!GJ
WAUNG.8RDE42D.	わうんG.8RDえ42D.
WAUNRUBUJD959G	わうんるぶJD959G
WAE--KTEZHGZ!Z	わえ--KてZHGZ!Z
WAE-TZHZEMI!U.	わえ-TZHぜみ!う.
WAE-W1TUUUKP.G	わえ-W1つううKP.G
WAE-UO-UGW3KTU	わえ-うお-うGW3Kつ
WAE-EMNN91D.!J	わえ-えMんん91D.!J
WAE-RUP2.UNSYE	わえ-るP2.うんSYえ
WAE-NMANOT-Z!Z	わえ-んまのT-Z!Z
WAEA.9SDYSMTN.	わえあ.9SDYSMTん.
WAEU.BM.UPJ-9E	わえう.BM.うPJ-9え
WAEU8NOMTRPTU.	わえう8のMTRPつ.
WAEUGSZ2UYRRMZ	わえうGSZ2うYRRMZ
WAEUR7HNU-KMSU	わえうR7Hぬ-KMす
WAEUT44JNDY3NU	わえうT44JんDY3ぬ
WAEUTYRSS1U.KM	わえうTYRSS1う.KM
WAEUY-R-B0OGUU	わえうY-R-B0おぐう
WAEUY9ENU-ITJS	わえうY9えぬ-いTJS
WAEUYBRUM8-SSU	わえうYBるM8-Sす
WAEUZTDUPNWU9S	わえうZTDうPんWう9S
WAEUTEHS9TYUYU	わえうてHS9ちゅゆ
WAEE1GKKK.!NZ!	わええ1GKKK.!んZ!
WAEE5SKP.RT.YU	わええ5SKP.RT.ゆ
WAEEJNN7NRMU7!	わええJんん7んRむ7!
WAEEZKMN.4J0D!	わええZKMん.4J0D!
WAEO.Y5GTTDYUZ	わえお.Y5GTTDゆZ
WAEZA9.MYGUITU	わえざ9.MYぐいつ
WAEZU-IZM.E-7E	わえず-いZM.え-7え
WAETUNRZZD1TYU	わえつんRZZD1ちゅ
WAENI9ND00I-GU	わえに9んD00い-ぐ
WAENID!.86MMGU	わえにD!.86MMぐ
WAENITJ5!GJ9.M	わえにTJ5!GJ9.M
WAERUSO!.KNPTU	わえるそ!.KんPつ
WAEWA0M-SGMZ.-	わえわ0M-SGMZ.-
WAEN!DJK7-NG5Z	わえん!DJK7-んG5Z
WAEN-4GMJSY.PS	わえん-4GMJSY.PS
WAEN-9GKM03THN	わえん-9GKM03THん
WAEN-PZ5-MJZE-	わえん-PZ5-MJぜ-
WAEN-OZTGU4RYS	わえん-おZTぐ4RYS
WAEN.D9IM7E0.G	わえん.D9いM7え0.G
WAEN8!-HDNG!EY	わえん8!-HDんG!えY
WAEN8GK5WNMD!Z	わえん8GK5WんMD!Z
WAEN8K-EG8MD!Z	わえん8K-えG8MD!Z
WAEN8NB8TNMD!Z	わえん8んB8TんMD!Z
WAENBW8NYGN5M!	わえんBW8んYGん5M!
WAENKMZ52GJ9.M	わえんKMZ52GJ9.M
WAENM!KS8D0G-J	わえんM!KS8D0G-J
WAENPJ3MG!N0K-	わえんPJ3MG!ん0K-
WAENR0N!8DEI.M	わえんR0ん!8Dえい.M
WAENZW.-EM!ISS	わえんZW.-えM!いSS
WAENN!2SIKK0G.	わえんん!2しKK0G.
WAENNJUB!3JM!-	わえんんじゅB!3JM!-
WAOI!.UUSDR-SG	わおい!.ううSDR-SG
WAOI.-TGOR!UGU	わおい.-TごR!うぐ
WAOIUMG.TUR1U-	わおいうMG.つR1う-
WAOUNGUWU2-TEY	わおうんぐWう2-てY
WAOEYPSN4-.UTG	わおえYPSん4-.うTG
WAOEKU.2GM.SK-	わおえく.2GM.SK-
WAOZUMPSKGT4U.	わおずMPSKGT4う.
WAONN5UUTBWTYU	わおんん5ううTBWちゅ
WAGAURG-YUWST0	わがうRG-ゆWST0
WAGAURGZR-R-S0	わがうRGZR-R-S0
WAKIJUZ0!E!GKG	わきじゅZ0!え!GKG
WAGIN6M0JN!RTG	わぎん6M0Jん!RTG
WAGINN0YNEN27T	わぎんん0Yねん27T
WAKUETS6UGUYWT	わくえTS6うぐYWT
WAKUGEU-!OJ-KS	わくげう-!おJ-KS
WAKUNM6M0DN5EY	わくんM6M0Dん5えY
WAGU-SYPNTP8SG	わぐ-SYPんTP8SG
WAGUI4S-GUOS-Y	わぐい4S-ぐおS-Y
WAGUUYW-SY2GES	わぐうYW-SY2げS
WAGUE-!JHM4N!J	わぐえ-!JHM4ん!J
WAKEKIG5!B..N0	わけきG5!B..ん0
WAKENNRM91ENZ!	わけんんRM91えんZ!
WAGEAWWNUTU9.M	わげあWWぬつ9.M
WAKOGUPNZTUT3-	わこぐPんZつT3-
WAJIGEKG!GZ!8-	わじげKG!GZ!8-
WAJAMUNK0!SND!	わじゃむんK0!SんD!
WASUROUM9.ISTG	わすろうM9.いSTG
WAZU-JGRTPUE9S	わず-JGRTぷえ9S
WASENUT7BYYUSU	わせぬT7BYゆす
WAZEANG9!!KWNG	わぜあんG9!!KWんG
WAZETUDS.J5RTY	わぜつDS.J5RTY
WAZETUZDM3RYSU	わぜつZDM3RYす
WATAUD3.--SUEY	わたうD3.--すえY
WATUA.0GUPWYTG	わつあ.0ぐPWYTG
WATUU8RH-UE-BU	わつう8RH-うえ-ぶ
WATUKER.1ZSKTU	わつけR.1ZSKつ
WATEPUBN8TR.UZ	わてぷBん8TR.うZ
WANAU9K-0JMEG!	わなう9K-0JめG!
WANAUN0DM82MN-	わなうん0DM82Mん-
WANII!NG1MN8TU	わにい!んG1Mん8つ
WANIN6G9MG5-YE	わにん6G9MG5-Yえ
WANUUWTTDS8AU-	わぬうWTTDS8あう-
WANUENHB!N4M8-	わぬえんHB!ん4M8-
WANUGOTPTEY.3-	わぬごTPてY.3-
WANUBOP-NDSN!.	わぬぼP-んDSん!.
WANUN707DM-GJE	わぬん707DM-GJえ
WANEEKJZGY3!M!	わねえKJZGY3!M!
WANEEINZD!3.9M	わねえいんZD!3.9M
WANEN!!HDIGU8-	わねん!!HDいぐ8-
WANEN-K02E9KGZ	わねん-K02え9KGZ
WANONMMKE14N!.	わのんMMけ14ん!.
WABIZUGZT4J-G.	わびずGZT4J-G.
WAPUU-5JU.JTBT	わぷう-5じゅ.JTBT
WAPUUSNISTU0DY	わぷうSにSつ0DY
WAHEU9G!.7MMJG	わへう9G!.7MMJG
WABE-USBY.SU9U	わべ-うSBY.す9う
WABON-!UTOKUUU	わぼん-!うとくうう
WAMIKUNN0N25EY	わみくんん0ん25えY
WAMYO5DPM.USUU	わみょ5DPM.うすう
WAMU-TO9PUUGJS	わむ-と9ぷうGJS
WAMUAT..5ODTYU	わむあT..5おDちゅ
WAMUIJ3N0MG9E-	わむいJ3ん0MG9え-
WAMUEYGTUO3SY-	わむえYGつお3SY-
WAMURU5AJ.TTSY	わむる5あJ.TTSY
WAMUN6MPSPUUUR	わむん6MPSぷううR
WAME-.3AUEUKY-	わめ-.3あうえうKY-
WAME-MI8NE8G9U	わめ-み8ね8G9う
WAME-NH5-D8N9G	わめ-んH5-D8ん9G
WAMEU7H!MGJ9NU	わめう7H!MGJ9ぬ
WAMEN8B4UHMN!.	わめん8B4うHMん!.
WAMEN8ZKK2GNT0	わめん8ZKK2GんT0
WAMOA.-EZT0M.M	わもあ.-えZT0M.M
WAYANT5G.SKSK-	わやんT5G.SKSK-
WAYUUG1MEIUMZY	わゆうG1めいうMZY
WAYO-USEIUG4U-	わよ-うせいうG4う-
WARAN.A!M.UTEY	わらん.あ!M.うてY
WARUU-PSEG8NWT	わるう-PせG8んWT
WARUUPUM5WEJU-	わるうぷM5ゑじゅ-
WARUGIURS2EZ.-	わるぎうRS2えZ.-
WARUZAN0J.NJUZ	わるざん0J.んじゅZ
WARONDESI!N.T.	わろんDえし!ん.T.
WAWAPUM.N2UTUU	わわぷM.ん2うつう
WAWENMN5KGK05Y	わゑんMん5KGK05Y
WAWOTUZTKGUG3-	わをつZTKぐG3-
WAN--AGEUJ4S-Y	わん--あげうJ4S-Y
WAN--HAU3RTTUU	わん--はう3RTつう
WAN-1G0MD!KSNJ	わん-1G0MD!KSんJ
WAN-4.ZYSEIUDE	わん-4.ZYせいうDえ
WAN-8NNEMDO!9E	わん-8んねMDお!9え
WAN-M3UDAPZTN.	わん-M3うDあPZTん.
WAN-BEEM88KG.!	わん-べえM88KG.!
WANGUD8D54SKYU	わんぐD8D54Sきゅ
WANGUMJU1IN7M!	わんぐMじゅ1いん7M!
WANKEET5NJ7.9M	わんけえT5んJ7.9M
WANSU4DETYRSZZ	わんす4DえTYRSZZ
WANSUYDZB-GJ5-	わんすYDZB-GJ5-
WANZE2UWGKU-KS	わんぜ2うWGく-KS
WANTA.DNI!KN05	わんた.Dに!Kん05
WANTAKE..TBZ9U	わんたけ..TBZ9う
WANTYAS9BE-NU.	わんちゃS9べ-ぬ.
WANNU-G.E9OWTB	わんぬ-G.え9おWTB
WANNE0KH5N-RD!	わんね0KH5ん-RD!
WANNE6NRYE0DM!	わんね6んRYえ0DM!
WANNEI!8!GKTJS	わんねい!8!GKTJS
WANNEI!8!NKBSU	わんねい!8!んKBす
WANBE3EN9-NM8-	わんべ3えん9-んM8-
WANREUZPYT8ETU	わんれうZPYT8えつ
WANN!1-MJ4EZKG	わんん!1-MJ4えZKG
WANN.G8DMIMP05	わんん.G8DみMP05
WANN4JTK-1NME0	わんん4JTK-1んめ0
WANNH40T-NAG9M	わんんH40T-なG9M
WANNKPNE!TJ6G!	わんんKPね!TJ6G!
WANNTKM51GM8J-	わんんTKM51GM8J-
WANNW0DDOMTZUU	わんんW0DDおMTずう
WANNNBA!3Z!GK-	わんんんば!3Z!GK-
WANNNWE27GTN!J	わんんんゑ27GTん!J
WI--IZ8ETZEEGZ	ゐ--いZ8えTぜえGZ
WI--ESST0EJ-HN	ゐ--えSST0えJ-Hん
WI-U5.SUGUDWOB	ゐ-う5.すぐDをB
WI-EKG5S8KNJ5M	ゐ-えKG5S8KんJ5M
WI-EKSSZNZAMT0	ゐ-えKSSZんざMT0
WI-EN81GJME.D!	ゐ-えん81GJめ.D!
WI-ENM3SG9EJ8M	ゐ-えんM3SG9えJ8M
WI-GENAN3DI!.0	ゐ-げなん3Dい!.0
WI-GOZZ-NOM!EE	ゐ-ごZZ-のM!ええ
WI-NE0ID5UN4HN	ゐ-ね0いD5うん4Hん
WI-MUUSYUO3EBU	ゐ-むうしゅお3えぶ
WI-N8EG99EHGE-	ゐ-ん8えG99えHげ-
WIA-3GNENN7E9-	ゐあ-3Gねんん7え9-
WIA-YEM.3UIUSG	ゐあ-YえM.3ういうSG
WIAU!GJM1NN4MZ	ゐあう!GJM1んん4MZ
WIAUPSRG5-YZGU	ゐあうPSRG5-YZぐ
WIAUTMZEZZ7.EM	ゐあうTMぜZZ7.えM
WIAUN-PJTG3.E-	ゐあうん-PJTG3.え-
WIAE!.YJNA!G!G	ゐあえ!.YJな!G!G
WIAE93.!NM-GJE	ゐあえ93.!んM-GJえ
WIAEJ.GM!3NE9-	ゐあえJ.GM!3ね9-
WIAEN4ZGMDN08-	ゐあえん4ZGMDん08-
WIAENM48ZG.IG!	ゐあえんM48ZG.いG!
WIAGISIGG!9.N0	ゐあぎしGG!9.ん0
WIABE!8NUUMKN0	ゐあべ!8ぬうMKん0
WIAMUSBUK7NSU.	ゐあむSぶK7んす.
WIAN!!JJDS0MGU	ゐあん!!JJDS0Mぐ
WIAN.E9MGDS7N0	ゐあん.え9MGDS7ん0
WIAN5.-NKDG!6E	ゐあん5.-んKDG!6え
WIAN7E0YEKGG!.	ゐあん7え0YえKGG!.
WIANP9GM0MU6NG	ゐあんP9GM0む6んG
WIANJUGE7TM9N0	ゐあんじゅげ7TM9ん0
WII-5DJN9E.GE0	ゐい-5DJん9え.げ0
WIIA!G8.GNOGM!	ゐいあ!G8.GのGM!
WIIA0D-5NNGZN4	ゐいあ0D-5んんGZん4
WIIAN5MTN.!3JG	ゐいあん5MTん.!3JG
WIIANNY0!9UGEE	ゐいあんんY0!9うげえ
WIIINT5UGJ!0JG	ゐいいんT5うGJ!0JG
WIIU5NUUSWDPSU	ゐいう5ぬうSWDPす
WIIUNB.P.OU!EG	ゐいうんB.P.おう!えG
WIIEG3DN.NH-!5	ゐいえG3Dん.んH-!5
WIIOSS!UDGJNT.	ゐいおSS!うDGJんT.
WIISUG.RZAMN2U	ゐいすG.RざMん2う
WIIN1N-7G5GNYE	ゐいん1ん-7G5GんYえ
WIINN4EZDE8ZG!	ゐいんん4えZDえ8ZG!
WIUA0N!EJNMP9G	ゐうあ0ん!えJんMP9G
WIUAG0ZPZRURTG	ゐうあG0ZPZるRTG
WIUI0ENGKJSG7!	ゐうい0えんGKJSG7!
WIUU5AZBUUUPMY	ゐうう5あZぶううPMY
WIUU8OTSZDGTEY	ゐうう8おTSZDGてY
WIUUAENSRR.2S-	ゐううあえんSRR.2S-
WIUUU-UUJ!EPOB	ゐううう-ううJ!えぽB
WIUUEODMP.!NON	ゐううえおDMP.!のん
WIUUGOB0R-G.PS	ゐううごB0R-G.PS
WIUUNBKORZE.5M	ゐううんBこRぜ.5M
WIUE-5NBJGJ8M!	ゐうえ-5んBJGJ8M!
WIUE3MI.NKN75E	ゐうえ3み.んKん75え
WIUEIE8TUYYEGZ	ゐうえいえ8つYYえGZ
WIUEZETNJ5YPD.	ゐうえぜTんJ5YPD.
WIUOUNR!NTSSRA	ゐうおうんR!んTSSら
WIUSUGNPHSRT3-	ゐうすGんPHSRT3-
WIUNATN8N2M8EM	ゐうなTん8ん2M8えM
WIUNU-SZA4DAM.	ゐうぬ-Sざ4DあM.
WIUBUUTKZO.1TG	ゐうぶうTKぞ.1TG
WIUYU3IU-SERSE	ゐうゆ3いう-せRせ
WIUN5GJKM7.E7E	ゐうん5GJKM7.え7え
WIUNB.EPSZRUU2	ゐうんB.えPSZるう2
WIUNB80GSKMBN0	ゐうんB80GSKMBん0
WIUNG4N9A4SJKG	ゐうんG4ん9あ4SJKG
WIUNG89AINTME0	ゐうんG89あいんTめ0
WIE-J4REM8NNE0	ゐえ-J4れM8んね0
WIEAZMZ-T0MO.G	ゐえあZMZ-T0も.G
WIEIKSD0NG.J!5	ゐえいKSD0んG.J!5
WIEISZ-0D.ESMZ	ゐえいSZ-0D.えSMZ
WIEU7E.7DNN!JE	ゐえう7え.7Dんん!Jえ
WIEUHNNJGB!!5Y	ゐえうHんんJGB!!5Y
WIEUSA-D9UP.SU	ゐえうさ-D9うP.す
WIEE-IMS-E6.UZ	ゐええ-いMS-え6.うZ
WIEE.KG98E-BN0	ゐええ.KG98え-Bん0
WIEEJ9D0.GMY0E	ゐええJ9D0.GMY0え
WIEEURTG2!!DIT	ゐええうRTG2!!DいT
WIEEN7.ZK4G!JE	ゐええん7.ZK4G!Jえ
WIEOM.NM5KM38G	ゐえおM.んM5KM38G
WIEOSMSYZE0M.M	ゐえおSMSYぜ0M.M
WIEOU-HTZE0M.M	ゐえおう-HTぜ0M.M
WIEKA0.GG57.KM	ゐえか0.GG57.KM
WIEGIES.!9N4HN	ゐえぎえS.!9ん4Hん
WIEGUUR0ONSRWT	ゐえぐうR0おんSRWT
WIEJUPTO8T.TUG	ゐえじゅPと8T.つG
WIEZUEZMH!M.PS	ゐえずえZMH!M.PS
WIENED.6NN4-7E	ゐえねD.6んん4-7え
WIENEJ!.N5R9MA	ゐえねJ!.ん5R9ま
WIEYUHNEN0KD!5	ゐえゆHねん0KD!5
WIEYUASGPT2.U.	ゐえゆあSGPT2.う.
WIEN!ZJ3EBKG.!	ゐえん!ZJ3えBKG.!
WIEN-!9JG8EHTG	ゐえん-!9JG8えHTG
WIEN-KJGHN5!U2	ゐえん-KJGHん5!う2
WIEN.4IKZEN02G	ゐえん.4いKぜん02G
WIEN0M3EGWK0D.	ゐえん0M3えGWK0D.
WIEN1GZ.BTRZD.	ゐえん1GZ.BTRZD.
WIEN1NUOMTRZD.	ゐえん1ぬおMTRZD.
WIEN5BNT88GI.M	ゐえん5BんT88ぎ.M
WIEN5HNUD!ZI9G	ゐえん5HぬD!じ9G
WIEN6M1J4G-MG.	ゐえん6M1J4G-MG.
WIEN6M5REKK0G.	ゐえん6M5れKK0G.
WIEN8!-JKZE4EG	ゐえん8!-JKぜ4えG
WIEN9UN5HKOGM!	ゐえん9うん5HこGM!
WIENBGN9E0.1MY	ゐえんBGん9え0.1MY
WIEND-BNT1N8N0	ゐえんD-BんT1ん8ん0
WIENDNJ-3E9Z5M	ゐえんDんJ-3え9Z5M
WIENGGZ9PA0N9M	ゐえんGGZ9ぱ0ん9M
WIENK.EA8G!KT0	ゐえんK.えあ8G!KT0
WIENMN3Y!8-AEG	ゐえんMん3Y!8-あえG
WIENZZT0AMS-YE	ゐえんZZT0あMS-Yえ
WIENGA.5JMY95M	ゐえんが.5JMY95M
WIENNE89JS!-DE	ゐえんね89JS!-Dえ
WIENNEZK98SM2G	ゐえんねZK98SM2G
WIENNW3DSM5N8M	ゐえんんW3DSM5ん8M
WIENNNB!N8SGW2	ゐえんんんB!ん8SGW2
WIOUKSE5GUUWTY	ゐおうKせ5ぐうWTY
WIOUROZGUGER-!	ゐおうろZぐげR-!
WIOEGMUYUW3MGZ	ゐおえGむゆW3MGZ
WIOO.STUGT3-KG	ゐおお.SつGT3-KG
WIONIN05GGDKZ!	ゐおにん05GGDKZ!
WIONU-5UDUASTY	ゐおぬ-5うDうあSTY
WIONRSH3T-TUGU	ゐおんRSH3T-つぐ
WIONS-MKS4OGG.	ゐおんS-MKS4おGG.
WIGA-1WUGZ-GD.	ゐが-1WうGZ-GD.
WIGIYU7NNI5GE0	ゐぎゆ7んに5げ0
WIKUEZSPTSG3YU	ゐくえZSPTSG3ゆ
WIGUUO-UUJT-2A	ゐぐうお-ううJT-2あ
WIGUE9TAKNM6N0	ゐぐえ9たKんM6ん0
WIGUZIM7GJN02G	ゐぐじM7GJん02G
WIGUZOTU4OUKE-	ゐぐぞつ4おうけ-
WIGUN9MBAE8N!Z	ゐぐん9Mばえ8ん!Z
WIKEN-KE1D.5N0	ゐけん-け1D.5ん0
WIGEE!3II.9NGZ	ゐげえ!3いい.9んGZ
WIGOA0M.4GJNM!	ゐごあ0M.4GJんM!
WIJAM-01GGM.9G	ゐじゃM-01GGM.9G
WIJUAT.UJ!EUIT	ゐじゅあT.うJ!えういT
WIJOATR!GUTSU.	ゐじょあTR!ぐTす.
WISU-NABUZRUU2	ゐす-なぶZるう2
WISUA.GUKMO2M.	ゐすあ.ぐKも2M.
WISEUOGYNP-UU2	ゐせうおGYんP-うう2
WISEN-5NBJ4N!J	ゐせん-5んBJ4ん!J
WISENN89DZM0DE	ゐせんん89DZM0Dえ
WIZORUT3NRSGE-	ゐぞるT3んRSげ-
WITU-3BBGTE!D!	ゐつ-3BBGて!D!
WITUHU8PTOGMUU	ゐつふ8PとGむう
WITUN0HGBSRZD.	ゐつん0HGBSRZD.
WITENES1RJG.Y-	ゐてねS1RJG.Y-
WITEN0!GMH3JD.	ゐてん0!GMH3JD.
WINIGEJS3ZM!N4	ゐにげJS3ZM!ん4
WINIGENS.5JD7!	ゐにげんS.5JD7!
WIHING35-MNG3-	ゐひんG35-MんG3-
WIBUUH-W.GEN2U	ゐぶうH-W.げん2う
WIPU-SR5UUANKS	ゐぷ-SR5ううあんKS
WIPUTUG3JZESTY	ゐぷつG3JぜSTY
WIBENUUIZZ4KSU	ゐべぬういZZ4Kす
WIBEN.EGI8!N3-	ゐべん.えぎ8!ん3-
WIPENDTOZN7GU.	ゐぺんDとZん7ぐ.
WIPENJN5!G6GK-	ゐぺんJん5!G6GK-
WIMIETHU-.0ZES	ゐみえてゅ-.0ぜS
WIMIGOM8GNZ3G!	ゐみごM8GんZ3G!
WIMINAZ0DUG8G!	ゐみなZ0DうG8G!
WIMEAEU9.N5K8M	ゐめあえう9.ん5K8M
WIMEUS3J0KN9EM	ゐめうS3J0Kん9えM
WIMEHUNNUG8I!2	ゐめふんぬG8い!2
WIMOA2NG!D.NN0	ゐもあ2んG!D.んん0
