YA-A.TUSU8PMPG	や-あ.つす8PMPG
YAIE0NGJ-GW7G!	やいえ0んGJ-GW7G!
YAIE5YEUP-YSUU	やいえ5YえうP-Yすう
YAIEEURW.-2USU	やいええうRW.-2うす
YAIERO.SM.GD!Z	やいえろ.SM.GD!Z
YAIEN57MEU9JM.	やいえん57めう9JM.
YAIKA.GE!07GN-	やいか.げ!07Gん-
YAIKUE7M00NGYE	やいくえ7M00んGYえ
YAIPETJNSNUR!Z	やいぺTJんSぬR!Z
YAIN-G0E4MM8ON	やいん-G0え4MM8おん
YAIN1NEDG!JZ-!	やいん1ねDG!JZ-!
YAINM50JDTNY0E	やいんM50JDTんY0え
YAINS6KEE!G.9M	やいんS6けえ!G.9M
YAU--3S.GRWBSE	やう--3S.GRWBせ
YAU--ROTM1UUJE	やう--ろTM1ううJえ
YAU-.APPGSSN4-	やう-.あPPGSSん4-
YAU-2S-MUHUURA	やう-2S-むふうら
YAU-4SSMGAW.RS	やう-4SSMがW.RS
YAU-9UMOOSGITU	やう-9うもおSぎつ
YAU-D-O.0UBUAT	やう-D-お.0うぶあT
YAU-KGPSPSN-1U	やう-KGPSPSん-1う
YAU-S.HMTUR1DS	やう-S.HMつR1DS
YAU-S6YSP.BTGG	やう-S6YSP.BTGG
YAU-Y8EUT.TASB	やう-Y8えうT.たSB
YAU-TO-SA9.DSG	やう-と-さ9.DSG
YAUA9GT.46GRKG	やうあ9GT.46GRKG
YAUAWG-K.T7.EE	やうあWG-K.T7.ええ
YAUAA-YSE-U4U-	やうああ-Yせ-う4う-
YAUASUIGYU5-WT	やうあすいぎゅ5-WT
YAUI!5IN.M2GHN	やうい!5いん.M2GHん
YAUIRWUU-5TJSE	やういRWうう-5TJせ
YAUITS3YHUSGT-	やういTS3YふSGT-
YAUIOTZE4TU.EY	やういおTぜ4つ.えY
YAUU-0WBAPTNUU	やうう-0WばPTぬう
YAUU-1IU-UEWDS	やうう-1いう-うえWDS
YAUU-ATM1GSRZY	やうう-あTM1GSRZY
YAUU-NRSBSM.P1	やうう-んRSBSM.P1
YAUU06S25G579U	やうう06S25G579う
YAUU1353UZ20M!	やうう1353うZ20M!
YAUU2B.PEEU-ZY	やうう2B.ぺえう-ZY
YAUU3NYUTRURBA	やうう3にゅTるRば
YAUU649TDKHGGU	やうう649TDKHGぐ
YAUUBN-U2-HOTU	やううBん-う2-ほつ
YAUUDDR85P!NJG	やううDDR85P!んJG
YAUUDZI-J.BE5-	やううDじ-J.べ5-
YAUUDN0R2DJG3-	やううDん0R2DJG3-
YAUUGTSA-JPR0-	やううGTさ-JPR0-
YAUUJ.B41KGG4-	やううJ.B41KGG4-
YAUUJDIT41NUN4	やううJDいT41ぬん4
YAUUK.4NG4MP3A	やううK.4んG4MP3あ
YAUUS!!518Y35E	やううS!!518Y35え
YAUUTGR5UWOIMZ	やううTGR5うをいMZ
YAUUWMSAUNTR6T	やううWMさうんTR6T
YAUUWT.EDR6ES-	やううWT.えDR6えS-
YAUUYZ4E-PPNSE	やううYZ4え-PPんせ
YAUUA4EUTWSMZY	やううあ4えうTWSMZY
YAUUAGGT-PR6-Z	やううあGGT-PR6-Z
YAUUAWG3GK9GR!	やううあWG3GK9GR!
YAUUUPZGPSID0-	やうううPZGPしD0-
YAUUUEOWZRGB!-	やうううえおWZRGB!-
YAUUUOWNS2MTYE	やうううおWんS2Mちぇ
YAUUUWE.T1DZIT	やうううゑ.T1DじT
YAUUEDUJR4J7G!	やううえDうJR4J7G!
YAUUEEZKO8TTTY	やううええZこ8TTTY
YAUUO3KTM-GWSS	やううお3KTM-GWSS
YAUUOTTMHKT.1U	やううおTTMHKT.1う
YAUUTIMH.E4JS-	やううちMH.え4JS-
YAUURU!H-PPNSE	やううる!H-PPんせ
YAUE.O48GD4-KG	やうえ.お48GD4-KG
YAUE0R4S1U0905	やうえ0R4S1う0905
YAUE7R.W-GATSU	やうえ7R.W-がTす
YAUE8RJTD45NGY	やうえ8RJTD45んGY
YAUEKSO.!PKTSU	やうえKそ.!PKTす
YAUES4DMIZ-.ON	やうえS4DみZ-.おん
YAUEYRJN444.EE	やうえYRJん444.ええ
YAUEYSR0WGSGWT	やうえYSR0WGSGWT
YAUEZ1UTR-OGK-	やうえZ1うTR-おGK-
YAUEOUEZW4NTTY	やうえおうえZW4んTTY
YAUEZUEZDKJ!WT	やうえずえZDKJ!WT
YAUENUPH0RSTTY	やうえぬPH0RSTTY
YAUENY9A4REG9U	やうえんY9あ4れG9う
YAUO1R-U-E.GIT	やうお1R-う-え.ぎT
YAUO3-G.-PGTHT	やうお3-G.-PGTHT
YAUO7.TMDUSSEY	やうお7.TMDうSせY
YAUOTS-DME8SYU	やうおTS-Dめ8しゅ
YAUOTN4J-SUBS-	やうおTん4J-すBS-
YAUOWSGENP!-UR	やうおWSげんP!-うR
YAUOET-T4N.UWA	やうおえT-T4ん.うわ
YAUOGUMU-I0ROT	やうおぐむ-い0ろT
YAUOTUDO0S--KG	やうおつDお0S--KG
YAUGA4RMKU-38G	やうが4RMく-38G
YAUKYAUGD402NU	やうきゃうGD402ぬ
YAUGUN9BTZZOPT	やうぐん9BTZぞPT
YAUGET-6YOTUEY	やうげT-6よつえY
YAUZANK3G94MKG	やうざんK3G94MKG
YAUJUUSS2MATY-	やうじゅうSS2まTY-
YAUSUEAR0TMYSY	やうすえあR0TMYSY
YAUSUOSPYMSND!	やうすおSPYMSんD!
YAUSOA.TI.TTN4	やうそあ.ち.TTん4
YAUTIRZ.0UBUAT	やうちRZ.0うぶあT
YAUTIZRNEU5RWS	やうちZRねう5RWS
YAUTEA2GWWMN..	やうてあ2GWWMん..
YAUTOSK-ZS4.BG	やうとSK-ZS4.BG
YAUNOG42UGIK9U	やうのG42うぎK9う
YAUNOT3ZR-GTHT	やうのT3ZR-GTHT
YAUNOKENJM!1M!	やうのけんJM!1M!
YAUHUTZ-RW4GES	やうふTZ-RW4げS
YAUBU4JGG4W3N-	やうぶ4JGG4W3ん-
YAUPEKT.E0PSYU	やうぺKT.え0Pしゅ
YAUBOP.MUG2ZU-	やうぼP.むG2ず-
YAUMUHGOAT!NY-	やうむHごあT!んY-
YAUMEWIYSU0.BG	やうめゐYす0.BG
YAUN.RGA2.4B9G	やうん.Rが2.4B9G
YAUN.JAO.EH.!.	やうん.じゃお.えH.!.
YAUN0DKGM6IZ5M	やうん0DKGM6いZ5M
YAUN34DU.-NDA2	やうん34Dう.-んDあ2
YAUN3GT2JR9DGZ	やうん3GT2JR9DGZ
YAUN3I4TJYG4SG	やうん3い4TJYG4SG
YAUNGDDU1N2W9U	やうんGDDう1ん2W9う
YAUNM1EPU-TYHN	やうんM1えぷ-TYHん
YAUNM6GTSPTYHN	やうんM6GTSPTYHん
YAUNT6ZJERMTEY	やうんT6ZJえRMてY
YAUNGAG43Y9-BU	やうんがG43Y9-ぶ
YAUNPO0RSMWTUG	やうんぽ0RSMWつG
YAE-MHGJW5N9G!	やえ-MHGJW5ん9G!
YAE-RDTSUUO6N-	やえ-RDTすうお6ん-
YAE-YSU-6DUOTG	やえ-Yす-6DうおTG
YAE-OU..4TKPSE	やえ-おう..4TKPせ
YAE-SUR-1UYWEG	やえ-すR-1うYゑG
YAEA-09SNKMM8G	やえあ-09SんKMM8G
YAEA-9EM2N7NN.	やえあ-9えM2ん7んん.
YAEAN!.GD!JH-!	やえあん!.GD!JH-!
YAEI.HG!M8U!NB	やえい.HG!M8う!んB
YAEI0ZGKJSM!N4	やえい0ZGKJSM!ん4
YAEI7NM5NB9.GZ	やえい7んM5んB9.GZ
YAEI90H-EG.MN4	やえい90H-えG.Mん4
YAEIM6!.M.4GJE	やえいM6!.M.4GJえ
YAEIM95E-.KN8E	やえいM95え-.Kん8え
YAEIMK6PNNUN!5	やえいMK6Pんぬん!5
YAEIS.5OT.DK.M	やえいS.5おT.DK.M
YAEISZ0WTM.ZEM	やえいSZ0WTM.ぜM
YAEU.KP-OEU2U-	やえう.KP-おえう2う-
YAEU004U2R530Z	やえう004う2R530Z
YAEUMRGNRR189G	やえうMRGんRR189G
YAEUZYMROEU2U-	やえうZYMろえう2う-
YAEUODPSTZ.N4-	やえうおDPSTZ.ん4-
YAEUJUO!-URTHT	やえうじゅお!-うRTHT
YAEEKK3MN2!NZZ	やええKK3Mん2!んZZ
YAEEM4N6GJ.WM!	やええM4ん6GJ.WM!
YAEES.R-OKGK0-	やええS.R-おKGK0-
YAEEAUW.TURR!Z	やええあうW.つRR!Z
YAEEU!DINNJ70-	やええう!DいんんJ70-
YAEEU.N!IH8MD!	やええう.ん!いH8MD!
YAEEUD.2-HIU-.	やええうD.2-ひう-.
YAEEN-8RGWSSK-	やええん-8RGWSSK-
YAEEN-S7YGROM.	やええん-S7YGろM.
YAEENTU!WJROM.	やええんつ!WJろM.
YAEENNH9W0TMN4	やええんんH9W0TMん4
YAEO-.5DITUS.R	やえお-.5DいつS.R
YAEO.PBTR0T.G.	やえお.PBTR0T.G.
YAEO1TK.M.BNT.	やえお1TK.M.BんT.
YAEOYSES4DU--.	やえおYせS4Dう--.
YAEOZMG4SR.TSY	やえおZMG4SR.TSY
YAEOUD5I.WT-UU	やえおうD5い.WT-うう
YAEOSUGY7PMTU.	やえおすGY7PMつ.
YAEKUN6NI!2E.M	やえくん6に!2え.M
YAEGE--HZEWZ!-	やえげ--HぜWZ!-
YAEGEJY90NA-M!	やえげJY90な-M!
YAEJINNE8UB!-!	やえじんね8うB!-!
YAESUPSNE9YPU-	やえすPSね9Yぷ-
YAESURRH!A-TU.	やえすRRH!あ-つ.
YAEZOE..-KBGR!	やえぞえ..-KBGR!
YAETOU.D0WR-SG	やえとう.D0WR-SG
YAENUSPUWRS!EY	やえぬSぷWRS!えY
YAENEORZ-5K-D.	やえねおRZ-5K-D.
YAEMI6KU!MZG8G	やえみ6く!MZG8G
YAEMEKE90Z3K.M	やえめけ90Z3K.M
YAEN-Y2G0M7ENJ	やえん-Y2G0M7えんJ
YAEN.JEM0Y!4MA	やえん.JえM0Y!4ま
YAEN.RO24GN4D.	やえん.ろ24Gん4D.
YAEN0NN6TKBD0-	やえん0んん6TKBD0-
YAENBZ8M9M5MUJ	やえんBZ8M9M5むJ
YAENJNRI95M5MZ	やえんJんり95M5MZ
YAENK9GR8PU4SG	やえんK9GR8ぷ4SG
YAENKBZRS1-TN.	やえんKBZRS1-Tん.
YAENKT9IGG0HZ!	やえんKT9いGG0HZ!
YAENMY8N5M0IPG	やえんMY8ん5M0いPG
YAENR-USS1WTD.	やえんR-うSS1WTD.
YAENR.0OMTEYKS	やえんR.0おMてYKS
YAENYEM396M.EM	やえんYえM396M.えM
YAO-.ZRBSGM3TU	やお-.ZRBSGM3つ
YAO-E.Z.E8JJ.G	やお-え.Z.え8JJ.G
YAOUGSE9R-E-SY	やおうGせ9R-え-SY
YAOUSDBZ.NT7TU	やおうSDBZ.んT7つ
YAOUU0PDG-ZITU	やおうう0PDG-じつ
YAOUU0PDGTZ-KS	やおうう0PDGTZ-KS
YAOUNGE2D4K.9U	やおうんげ2D4K.9う
YAOE5RR-SI.-GU	やおえ5RR-し.-ぐ
YAOED0TUET.RZY	やおえD0つえT.RZY
YAOETKZPG-3-UU	やおえTKZPG-3-うう
YAOEU-SWTRNN2U	やおえう-SWTRんん2う
YAOEERZ.GRTR!Z	やおええRZ.GRTR!Z
YAOETUWSD2-NU.	やおえつWSD2-ぬ.
YAOGERG9G09RD.	やおげRG9G09RD.
YAOSYUBS-G9TGZ	やおしゅBS-G9TGZ
YAONUM1PUPMTU.	やおぬM1ぷPMつ.
YAOPU2N-U.RMES	やおぷ2ん-う.RめS
YAON.Y5DTRTZES	やおん.Y5DTRTぜS
YAONHZUJN0JU-U	やおんHずJん0じゅ-う
YAONZR.NUS6NHN	やおんZR.ぬS6んHん
YAONSUTJTRZ-2G	やおんすTJTRZ-2G
YAGAUKMJM90MS0	やがうKMJM90MS0
YAGISUAOU!YUT-	やぎすあおう!ゆT-
YAGYUU6PSTEP.M	やぎゅう6PSてP.M
YAKUE.94IUD3SG	やくえ.94いうD3SG
YAKUJU5D4D1MU.	やくじゅ5D4D1む.
YAKUTOHT5TD.UZ	やくとHT5TD.うZ
YAGU-PGYZGSSW2	やぐ-PGYZGSSW2
YAGUAS-UWRS!EY	やぐあS-うWRS!えY
YAGUI.4R37NDSG	やぐい.4R37んDSG
YAGUIMM0JG3IZ!	やぐいMM0JG3いZ!
YAGUEOMN!RWOM.	やぐえおMん!RをM.
YAGUGE99RJ3.BT	やぐげ99RJ3.BT
YAGUSAYEYTSR!Z	やぐさYえYTSR!Z
YAGUNP4K23NUEY	やぐんP4K23ぬえY
YAGEUW89G2GRYG	やげうW89G2GRYG
YAGEOR.YSUMP5-	やげおR.YすMP5-
YAGOODR.G-5T-Z	やごおDR.G-5T-Z
YASAOBUU!.KUT-	やさおぶう!.くT-
YASANW!ROTGU-U	やさんW!ろTぐ-う
YASIUT3RE.HTU-	やしうT3れ.Hつ-
YASIUTGOTY0UKS	やしうTごTY0うKS
YASYATSYPE.!GU	やしゃTSYぺ.!ぐ
YAZITUEGU8OTTY	やじつえぐ8おTTY
YAJA9Y4TGGUE9U	やじゃ9Y4TGぐえ9う
YAJU-GD-P5TZHN	やじゅ-GD-P5TZHん
YAJU2KGUK3UD5-	やじゅ2KぐK3うD5-
YAJU79TGG3SGDY	やじゅ79TGG3SGDY
YAJUS!I4DRG3.G	やじゅS!い4DRG3.G
YAJUZ.HS.7NANU	やじゅZ.HS.7なぬ
YAJUU5UK4KKR5E	やじゅう5うK4KKR5え
YAJUZUHSEZ.9NJ	やじゅずHせZ.9んJ
YAJUTUETSW!OYG	やじゅつえTSW!おYG
YAJOUK9GD5!GUR	やじょうK9GD5!ぐR
YAJOUTR-!MGOSU	やじょうTR-!Mごす
YASU-GRDIZS!OU	やす-GRDいZS!おう
YASU-GPUUO8MIT	やす-Gぷうお8みT
YASU-Y-ESEP3YG	やす-Y-えせP3YG
YASUETYD.TGZW1	やすえTYD.TGZW1
YASUEO3GMT-YSY	やすえお3GMT-YSY
YASUGIDM7S-.ON	やすぎDM7S-.おん
YAZUN0E8MDKAM!	やずん0え8MDかM!
YASE-4.IRZUSPG	やせ-4.いRずSPG
YASEONU-ARU-4-	やせおぬ-ある-4-
YASEPIZKKT.5G.	やせぴZKKT.5G.
YASEBURT.NOR0-	やせぶRT.のR0-
YAZE-D.D6-G.BS	やぜ-D.D6-G.BS
YAZE-GW9NSNPDS	やぜ-GW9んSんPDS
YAZE-UD3OPMTU.	やぜ-うD3おPMつ.
YAZEUS.BD2SR.-	やぜうS.BD2SR.-
YAZEEGN9MKH04-	やぜえGん9MKH04-
YAZEEMN6KN3-D!	やぜえMん6Kん3-D!
YAZESUADI!YNT.	やぜすあDい!YんT.
YASONER4T-.SEY	やそねR4T-.せY
YASONKNNGTO7T-	やそんKんんGと7T-
YAZO-TG2GUWYSG	やぞ-TG2ぐWYSG
YATA-U!GS.IRHN	やた-う!GS.いRHん
YATATOZRTZG.9G	やたとZRTZG.9G
YATAHUPUGZ!TYU	やたふぷGZ!ちゅ
YATYOS0URMEJTU	やちょS0うRめJつ
YATIRU6U-SEUEY	やちる6う-せうえY
YATUU-DASZ8-BU	やつう-DあSZ8-ぶ
YATUU4HOU-EYE-	やつう4ほう-えYえ-
YATUETROKER.0Z	やつえTろけR.0Z
YATUZAS4-P.DGZ	やつざS4-P.DGZ
YATUZOTJ-4SNBU	やつぞTJ-4Sんぶ
YATUPUPGZOI!G.	やつぷPGぞい!G.
YATUPUE2DZWNUZ	やつぷえ2DZWぬZ
YATE-.O0BDYSUU	やて-.お0BDYすう
YATEUOZRGRP0M.	やてうおZRGRP0M.
YATEPUGO-9ZB.U	やてぷご-9ZB.う
YATEYUAUWG5YS-	やてゆあうWG5YS-
YANINGT7ZJ40EM	やにんGT7ZJ40えM
YANU-0TUBDWOSU	やぬ-0つBDをす
YANUN5D4RJ3.BT	やぬん5D4RJ3.BT
YANUNMIS!57DHN	やぬんみS!57DHん
YANEAN-0D0JRM!	やねあん-0D0JRM!
YANEE7DMD0NY0Z	やねえ7DMD0んY0Z
YANEOWMMZ-ET0Z	やねおWMMZ-えT0Z
YANEN!7AGMNW9S	やねん!7あGMんW9S
YANEN0DWG9MZ7E	やねん0DWG9MZ7え
YANOU9UTHTTSEY	やのう9うTHTTせY
YANONB!E8NMZD!	やのんB!え8んMZD!
YAHUTERS!UEWYU	やふてRS!うえWゆ
YABUOT.!UODMUZ	やぶおT.!うおDむZ
YAPEIBU-U3.-SU	やぺいぶ-う3.-す
YAPEEZSM-!NH-Z	やぺえZSM-!んH-Z
YAPEGAU.-7PTU.	やぺがう.-7Pつ.
YAMAA.0!MUINN4	やまあ.0!むいんん4
YAMIEJ5!4NH-G.	やみえJ5!4んH-G.
YAMINI5N3G0-KS	やみに5ん3G0-KS
YAMINI5N3N0ITU	やみに5ん3ん0いつ
YAMUUZTORI1MUU	やむうZとり1むう
YAMUEJ08GI-9EM	やむえJ08ぎ-9えM
YAMUTOJPUBUT.0	やむとJぷぶT.0
YAME-9IMZSZZES	やめ-9いMZSZぜS
YAMEUWT8UJGZIT	やめうWT8うJGじT
YAMEUBUU6ZPRU-	やめうぶう6ZPる-
YAMERUW0ZPBUUU	やめるW0ZPぶうう
YAMEN.46K!HGE-	やめん.46K!Hげ-
YAMONI0G4M0NKS	やもに0G4M0んKS
YAYUTOSW0RMUEG	やゆとSW0RむえG
YARANZ.ZJZU6NG	やらんZ.ZJず6んG
YARUITN39N3UDE	やるいTん39ん3うDえ
YARUETKS5ZO-YG	やるえTKS5ぞ-YG
YARUO.SIGMT!OU	やるお.しGMT!おう
YARUOSNYEMT!OU	やるおSんYえMT!おう
YARUZUEYTMO5EY	やるずえYTも5えY
YARUND2G91UZKG	やるんD2G91うZKG
YAREON5ZUSD-TY	やれおん5ずSD-TY
YARESU.BTYH5U-	やれす.BTYH5う-
YAWANN57UM!ING	やわんん57うM!いんG
YAWEUTN3UTSZYB	やゑうTん3うTSZYB
YAN-!-DE18NJEM	やん-!-Dえ18んJえM
YAN-6UAM0DM0KG	やん-6うあM0DM0KG
YAN-BJM52I5NN.	やん-BJM52い5んん.
YAN-DSG9AB-UZZ	やん-DSG9あB-うZZ
YAN-MG6KU0I9EE	やん-MG6く0い9ええ
YAN-MT-G2T45BB	やん-MT-G2T45BB
YAN-PGJZKTP0SG	やん-PGJZKTP0SG
YAN-RT-H1UUSPG	やん-RT-H1ううSPG
YAN-WSTATH4UUU	やん-WSたTH4ううう
YAN-AIG2NZ!G!J	やん-あいG2んZ!G!J
YAN-MA0!PI8NGG	やん-ま0!ぴ8んGG
YAN-MING625ZKG	やん-みんG625ZKG
YANKA1M!Z!INUG	やんか1M!Z!いぬG
YANGAGHMZU97M!	やんがGHMず97M!
YANGI!0ETGY7HN	やんぎ!0えTGY7Hん
YANGUEW!K-OYES	やんぐえW!K-おYえS
YANSA.R.TBR5S-	やんさ.R.TBR5S-
YANSAD-.EIZ9TU	やんさD-.えいZ9つ
YANZA9IMGNO!G!	やんざ9いMGの!G!
YANZAR5TRPU.E-	やんざR5TRぷ.え-
YANSURPM5.O-RE	やんすRPM5.お-れ
YANSUE5BYP.TSY	やんすえ5BYP.TSY
YANSE0I!56050-	やんせ0い!56050-
YANSE2M.RPN-ON	やんせ2M.RPん-おん
YANSEZKEYRS!EY	やんせZけYRS!えY
YANSEUPUWRS!EY	やんせうぷWRS!えY
YANSODMPY5-SUU	やんそDMPY5-すう
YANSOPUN4-S-PG	やんそぷん4-S-PG
YANNA!-H5TDN8M	やんな!-H5TDん8M
YANNA3-NBME!8-	やんな3-んBめ!8-
YANNE4DU3P.2YG	やんね4Dう3P.2YG
YANNOAM!N1MNR!	やんのあM!ん1MんR!
YANHUTJ0BT.-BU	やんふTJ0BT.-ぶ
YANMA2NZGNW3M!	やんま2んZGんW3M!
YANMAME1N.7!YG	やんまめ1ん.7!YG
YANMI.7KE25EN.	やんみ.7け25えん.
YANMI3K!GE-.6E	やんみ3K!げ-.6え
YANME49ZNEI0KS	やんめ49Zねい0KS
YANN!KIO0GZ!BG	やんん!きお0GZ!BG
YANN3UH.A-H.UZ	やんん3うH.あ-H.うZ
YANN5U7M-H1MKG	やんん5う7M-H1MKG
YANN77WEGN0-DE	やんん77ゑGん0-Dえ
YANN9HTI2GM.0E	やんん9Hち2GM.0え
YANNDZSK57J!EM	やんんDZSK57J!えM
YANNG3!JET7IMZ	やんんG3!JえT7いMZ
YANNHS.N.H4ZHN	やんんHS.ん.H4ZHん
YANNMJ!J2NT7ES	やんんMJ!J2んT7えS
YANNMMUYJ7B05E	やんんMむYJ7B05え
YANNNI6DT-30EM	やんんに6DT-30えM
YANNMI!!.2OJEG	やんんみ!!.2おJえG
YANNN15KEMHR!-	やんんん15けMHR!-
YANNNPNKE2Z!7E	やんんんPんけ2Z!7え
YU--ADD-8SEHGZ	ゆ--あDD-8せHGZ
YU-ARK2NE3U3KG	ゆ-あRK2ね3う3KG
YU-AZB1MDSSUYU	ゆ-あZB1MDSすゆ
YU-I43YUD3AENG	ゆ-い43ゆD3あえんG
YU-ID1UOMO.TSG	ゆ-いD1うおも.TSG
YU-IZ.UA.M1KMA	ゆ-いZ.うあ.M1Kま
YU-U65524GA08S	ゆ-う65524が08S
YU-UDTOGHA4TZZ	ゆ-うDとGは4TZZ
YU-UKOSITPEG8S	ゆ-うこしTぺG8S
YU-EDNY42TDN2B	ゆ-えDんY42TDん2B
YU-EW5OROGNTJT	ゆ-えW5おろGんTJT
YU-O!5A30GU591	ゆ-お!5あ30ぐ591
YU-O0RMGSZURBA	ゆ-お0RMGSずRば
YU-O83!GE4515Z	ゆ-お83!げ4515Z
YU-OWUB3DGSE-Z	ゆ-おWうB3DGせ-Z
YU-OEY4RIZGSSE	ゆ-おえY4りZGSせ
YU-OKEPTUA0DUZ	ゆ-おけPつあ0DうZ
YU-OND4TPZJSSE	ゆ-おんD4TPZJSせ
YU-KEEYWUOS2SG	ゆ-けえYWうおS2SG
YU-TUBBG6OZUKS	ゆ-つBBG6おずKS
YU-TOE.E3O-PKG	ゆ-とえ.え3お-PKG
YU-TONEU1O-PKG	ゆ-とねう1お-PKG
YU-PAUMSYGIS1U	ゆ-ぱうMSYぎS1う
YU-PUB3HUEYES-	ゆ-ぷB3ふえYえS-
YU-PEE5GDYOO.-	ゆ-ぺえ5GDよお.-
YU-PO.R8MSPEEG	ゆ-ぽ.R8MSぺえG
YU-REAUY6TPNSE	ゆ-れあうY6TPんせ
YU-REOPGHSNS4-	ゆ-れおPGHSんS4-
YU-RESAZPU8-DE	ゆ-れさZぷ8-Dえ
YU-WEE.M3PPGOU	ゆ-ゑえ.M3PPごう
YU-N!MHOZSNKRA	ゆ-ん!MほZSんKら
