YAADUMNHN9M!5Z    やあDうMんHん9M!5Z
YAE0HPNN9NTM9E    やえ0HPんん9んTM9え
YAE1M.IM!NJG3-    やえ1M.いM!んJG3-
YAE1N!ANY-!MGJ    やえ1ん!あんY-!MGJ
YAE2TUWGUZNRWS    やえ2つWGうZんRWS
YAE22MRETTM!YG    やえ22MれTTM!YG
YAE3JRN47DUG-U    やえ3JRん47DうG-う
YAE3NN7-M!BSNJ    やえ3んん7-M!BSんJ
YAE3RU.NB!3RKG    やえ3る.んB!3RKG
YAE3U4KSDU4NJ-    やえ3う4KSDう4んJ-
YAE4IBNNM8G-0Z    やえ4いBんんM8G-0Z
YAE4K19GJUUMUR    やえ4K19GJううむR
YAE4N3UT7JDG.R    やえ4ん3うT7JDG.R
YAE4R.N46TRGGJ    やえ4R.ん46TRGGJ
YAE4S9PD8NGUGY    やえ4S9PD8んGうGY
YAE4UKJU.G9U2B    やえ4うKJう.G9う2B
YAE4ZG4Z8DDG.R    やえ4ZG4Z8DDG.R
YAE5PYTUMOD.UZ    やえ5PYつもD.うZ
YAE5R9MNN0HMKS    やえ5R9Mんん0HMKS
YAE5UWTREIR.UZ    やえ5うWTれいR.うZ
YAE5U0O944.55Z    やえ5う0お944.55Z
YAE5Z67NMNMRKG    やえ5Z67んMんMRKG
YAE5.RNWBUUPS-    やえ5.RんWBううPS-
YAE5.RYTSBDZUZ    やえ5.RYTSBDZうZ
YAE6G7GM.M!RHN    やえ6G7GM.M!RHん
YAE6!5.83S54TU    やえ6!5.83S54つ
YAE7410NG7U5.0    やえ7410んG7う5.0
YAE7.RBU4GD8NU    やえ7.RBう4GD8ぬ
YAE8JMG7SMK5.M    やえ8JMG7SMK5.M
YAE8-ES!H4NNKM    やえ8-えS!H4んんKM
YAE8!M5.AIGNK-    やえ8!M5.あいGんK-
YAE9KJ-7NGEM5Z    やえ9KJ-7んGえM5Z
YAE9KMGEK5J-0Z    やえ9KMGえK5J-0Z
YAE9SUGK4YR1NG    やえ9すGK4YR1んG
YAE9UO9G.R4BNG    やえ9うお9G.R4BんG
YAE9.GY1UR4BNG    やえ9.GY1うR4BんG
YAE.GJ6EMK4ZM!    やえ.GJ6えMK4ZM!
YAE.G49SGY1DYG    やえ.G49SGY1DYG
YAE.HRSBK-U.5M    やえ.HRSBK-う.5M
YAE.ITN433DG.R    やえ.いTん433DG.R
YAE.I-NM81EG9M    やえ.い-んM81えG9M
YAE.M7J0DJU!EM    やえ.M7J0DJう!えM
YAE.N3EOTYE-K-    やえ.ん3えおTYえ-K-
YAE.O.RSETYR5M    やえ.お.RせTYR5M
YAE.UP!TUSWJDS    やえ.うP!つSWJDS
YAE.0G9M-H1MKG    やえ.0G9M-H1MKG
YAE.4BAR-TZZUU    やえ.4BあR-TZZうう
YAE-MHGJW5N9G!    やえ-MHGJW5ん9G!
YAE-OU..4TKPSE    やえ-おう..4TKPせ
YAE-RDTSUUO6N-    やえ-RDTすうお6ん-
YAE-SUR-1UYWEG    やえ-すR-1うYWえG
YAE-YSU-6DUOTG    やえ-Yす-6DうおTG
YAE!G6B-TJNN!J    やえ!G6B-TJんん!J
YAE!NI06-MDGUJ    やえ!に06-MDGうJ
YAGARTSW-G.1U-    やGあRTSW-G.1う-
YAGAUKMJM90MS0    やGあうKMJM90MS0
YAGA.RUED4M89U    やGあ.るえD4M89う
YAGBMM1W.KN5N0    やGBMM1W.Kん5ん0
YAGBSSU9ZUZYBT    やGBSす9ZうZYBT
YAGB7RSSSW-NUU    やGB7RSSSW-ぬう
YAGB!J8-N5MNHT    やGB!J8-ん5MんHT
YAGDM0J.!EI0KS    やGDM0J.!えい0KS
YAGDUJ.44NI2SU    やGDうJ.44に2す
YAGDU4Y3ME.O9G    やGDう4Y3め.お9G
YAGDW-ZMEU8SYE    やGDW-Zめう8SYえ
YAGD28K2.GEU.R    やGD28K2.Gえう.R
YAGD.R2R3N0.BG    やGD.R2R3ん0.BG
