HAA-8.GM4MMN5Y	はあ-8.GM4MMん5Y
HAJIKU5NUE!!K-	はじく5ぬえ!!K-
HAJUT4TKNZZTEY	はじゅT4TKんZZてY
HA-JUWNM7GG7G!	は-じゅWんM7GG7G!
HASUEUY..D!PPT	はすえうY..D!PPT
HAZU-BU4ZRBUU-	はず-ぶ4ZRぶう-
HAZEUA-!RR-ND.	はぜうあ-!RR-んD.
HASENM9KK1TN!.	はせんM9KK1Tん!.
HATINMNGR!J!8S	はちんMんGR!J!8S
HANI-0U!A9MD.G	はに-0う!あ9MD.G
HA-NIG4!BMUJ.0	は-にG4!BむJ.0
HANIN2N!0MJRTU	はにん2ん!0MJRつ
HANUN!7REBM8.M	はぬん!7れBM8.M
HA-NE0.-K32MKG	は-ね0.-K32MKG
HANEJU!KN7!BU-	はねじゅ!Kん7!ぶ-
HANEN!9J!D.THT	はねん!9J!D.THT
HA-HUTN0URTYKE	は-ふTん0うRTYけ
HABUN98NMMDSZ!	はぶん98んMMDSZ!
HA-MU0B-.MHSS-	は-む0B-.MHSS-
HA-MUGZ93J5MKM	は-むGZ93J5MKM
HAMEN!UYJEY0D!	はめん!うYJえY0D!
HAMONGGR0YU-WT	はもんGGR0ゆ-WT
HAYANNM73NG!T-	はやんんM73んG!T-
HA-YU1PUTUGPM.	は-ゆ1ぷつGPM.
HAYUI-O.E.!DTG	はゆい-お.え.!DTG
HARENI2TNK!N.0	はれに2TんK!ん.0
HARENNZIGM93!-	はれんんじGM93!-
HARO-SR0R-TNUG	はろ-SR0R-TぬG
HA-N0BN94ZMGKS	は-ん0Bん94ZMGKS
HA-N!0TN7KGOKG	は-ん!0Tん7KごKG
HAN-5JTYN9GI5M	はん-5JTYん9ぎ5M
HA-N7GBMU!2N.J	は-ん7GBむ!2ん.J
HA-N.G!M2W9ANG	は-ん.G!M2W9あんG
HA-NK2!NE-ON9G	は-んK2!ね-おん9G
HA-NMMG632GNY-	は-んMMG632GんY-
HA-NM!PN9EZD8G	は-んM!Pん9えZD8G
HAN-P.6GN5KMD!	はん-P.6Gん5KMD!
HAN-TNW5DGK7N0	はん-TんW5DGK7ん0
HAN-EWWE-T-N5Z	はん-えWゑ-T-ん5Z
HANGA1M!MG.9Y-	はんが1M!MG.9Y-
HANKUND-Z!I1G!	はんくんD-Z!い1G!
HANGEYEK!N9O-!	はんげYえK!ん9お-!
HANGOTR!WUITN.	はんごTR!WういTん.
HANKOUG9!ZMM9E	はんこうG9!ZMM9え
HANZI049-G-NBG	はんじ049-G-んBG
HANSI0Y.NDB!G!	はんし0Y.んDB!G!
HANNA!IUK5!KU-	はんな!いうK5!く-
HANNE9MGW24N-Z	はんね9MGW24ん-Z
HANNE!E!KR9ZKS	はんね!え!KR9ZKS
HANNE!E!KY9HTU	はんね!え!KY9Hつ
HANNE!N29MWUKS	はんね!ん29MWうKS
HANPU4R39NYTGG	はんぷ4R39んYTGG
HA-NHU54NY!MKE	は-んふ54んY!Mけ
HANME!GYY!J5EY	はんめ!GYY!J5えY
HANMEKNG2Y!Z3-	はんめKんG2Y!Z3-
HANMO.4!KE5.KM	はんも.4!け5.KM
HANRE0-GK-YPSU	はんれ0-GK-YPす
HANN0EDWUWTYTU	はんん0えDWうWTYつ
HANN0GU7EMBY9-	はんん0ぐ7えMBY9-
HANN2M-HJU-4G!	はんん2M-Hじゅ-4G!
HANN3!MMJ1D-U-	はんん3!MMJ1D-う-
HANN3ME5-YEM9Y	はんん3め5-YえM9Y
HANN-6BG7G!MYU	はんん-6BG7G!みゅ
HANNG7-6E.DMR!	はんんG7-6え.DMR!
HANNG-NYI-725G	はんんG-んYい-725G
HANNK9N!T5BWGZ	はんんK9ん!T5BWGZ
HANNM0-2GEKW9U	はんんM0-2げKW9う
HANN.!N9EDM7OT	はんん.!ん9えDM7おT
HIA-0DU!KK5NGZ	ひあ-0Dう!KK5んGZ
HI-A3UST-UUDYS	ひ-あ3うST-ううDYS
HI-AKT6UNKN!5G	ひ-あKT6うんKん!5G
HIAIUNNU30MT9M	ひあいうんぬ30MT9M
HIAIYU-N0N5DG!	ひあいゆ-ん0ん5DG!
HIAUSU3.RTW-TG	ひあうす3.RTW-TG
HIAUNMG6!BK.U!	ひあうんMG6!BK.う!
HIAE!!-G7JY.GG	ひあえ!!-G7JY.GG
HIAEK.!UGM73N-	ひあえK.!うGM73ん-
HIAEU!06!050U-	ひあえう!06!050う-
HIAZUD--GD!O.U	ひあずD--GD!お.う
HIASU-R.UU!PDS	ひあす-R.うう!PDS
HIATUUKSZTT9NJ	ひあつうKSZTT9んJ
HIANU5MN9SKWG!	ひあぬ5Mん9SKWG!
HIANE9UTJ9SNM!	ひあね9うTJ9SんM!
HIAREMWTUG8-U.	ひあれMWつG8-う.
HIAN6UD.U5M!KM	ひあん6うD.う5M!KM
HIAN-9..M35MDE	ひあん-9..M35MDえ
HIAN-DMRN0N02U	ひあん-DMRん0ん02う
HIAN!-G!.3TIJG	ひあん!-G!.3ちJG
HIANM!UN!8RKSE	ひあんM!うん!8RKせ
HIAN!MU0RNBD.0	ひあん!む0RんBD.0
HIANN3.MD3SM!-	ひあんん3.MD3SM!-
HIAN!NGNKS25-Y	ひあん!んGんKS25-Y
HII-78UG!GKEGZ	ひい-78うG!GけGZ
HIIA8GEMR!..!G	ひいあ8げMR!..!G
HIIAGY!GNG00TY	ひいあGY!GんG00TY
HIIIB.ZN5G4N!U	ひいいB.Zん5G4ん!う
HII-E8GGG0R0K-	ひい-え8GGG0R0K-
HIIE9.DGE-9E.0	ひいえ9.Dげ-9え.0
HIIED9GND0!ZUZ	ひいえD9GんD0!ずZ
HIIEAGW!!UN9NU	ひいえあGW!!うん9ぬ
HIIEND4G8NT!ZZ	ひいえんD4G8んT!ZZ
HIIJUBGG.57.M!	ひいじゅBGG.57.M!
HIIZEN4SYNN!2G	ひいぜん4SYんん!2G
HIITURZRSURGS0	ひいつRZRすRGS0
HIINUGG5W2NZ9M	ひいぬGG5W2んZ9M
HIINUA-GU!5K8M	ひいぬあ-ぐ!5K8M
HIINE1NM!5UGYY	ひいね1んM!5うGYY
HIIMU9OGU!NBN0	ひいむ9おぐ!んBん0
HIIMUK1GHN!U!U	ひいむK1GHん!う!う
HIIMOENJ!4NU!U	ひいもえんJ!4ぬ!う
HII-RUAOTUN!G.	ひい-るあおつん!G.
HIIN1DU.!EJUM!	ひいん1Dう.!えじゅM!
HIINK0Z5GDGT0Y	ひいんK0Z5GDGT0Y
HIINM84MGT3GZZ	ひいんM84MGT3GZZ
HIIN!ASN4S.KG!	ひいん!あSん4S.KG!
HIIN!UHBG8G-!U	ひいん!うHBG8G-!う
HIINMOG8G9-!SG	ひいんもG8G9-!SG
HIINNDMN65UT3-	ひいんんDMん65うT3-
HIINNJ!4NUPET0	ひいんんJ!4ぬぺT0
HI-UGNKDH9!0ES	ひ-うGんKDH9!0えS
HI-UT4EOEYRSU.	ひ-うT4えおえYRす.
HI-UZTZWEJ-E5M	ひ-うZTZゑJ-え5M
HIUAG4NTU4D8YU	ひうあG4んつ4D8ゆ
HIUAGGN!AYN7-!	ひうあGGん!あYん7-!
HIUA!E5UN!INKY	ひうあ!え5うん!いんKY
HIUIM0ANR-9N5G	ひういM0あんR-9ん5G
HIU-UGBHGWSU9-	ひう-うGBHGWす9-
HIUUUST2DUZKWS	ひうううST2DうZKWS
HIUE0M-4J2N-GJ	ひうえ0M-4J2ん-GJ
HIUE0NO-D!0KKG	ひうえ0の-D!0KKG
HIUEDJND!M7.S0	ひうえDJんD!M7.S0
HIUED!PNMZ8!JG	ひうえD!PんMZ8!JG
HIUEG4ZB8-MN8M	ひうえG4ZB8-Mん8M
HIUEJ7M2NKSG.!	ひうえJ7M2んKSG.!
HIUEW-D!N01KNG	ひうえW-D!ん01KんG
HIUE.IMG4IT8N0	ひうえ.いMG4いT8ん0
HIUEU0W.PMDYSG	ひうえう0W.PMDYSG
HIUENKNG20ZK7T	ひうえんKんG20ZK7T
HIUO-.G9.ZN-BB	ひうお-.G9.Zん-BB
HIUGI35RR.4D.G	ひうぎ35RR.4D.G
HIUJO!...J.OEG	ひうじょ!...J.おえG
HIUTI!NN2K8EGZ	ひうち!んん2K8えGZ
HIUNEN8WM4!WEG	ひうねん8WM4!ゑG
HIUPU3-RMOTGUZ	ひうぷ3-RもTぐZ
HIUN-3IJ!EGZD!	ひうん-3いJ!えGZD!
HIUNY2.IE0MN2G	ひうんY2.いえ0Mん2G
HIUNKA!EK8--5G	ひうんか!えK8--5G
HIUNMAJN6TT9G!	ひうんまJん6TT9G!
HIE-4.4IEKNN5Z	ひえ-4.4いえKんん5Z
HIE-58MK.3NGIT	ひえ-58MK.3んぎT
HI-E8IE-N.4N4E	ひ-え8いえ-ん.4ん4え
HI-E9-JJTM3N5G	ひ-え9-JJTM3ん5G
HI-EDE.G0NJ29-	ひ-えDえ.G0んJ29-
HI-EK3RM8ZN!EG	ひ-えK3RM8Zん!えG
HI-EMJ!U6.GD9E	ひ-えMJ!う6.GD9え
HIE-SJ48GNWMG!	ひえ-SJ48GんWMG!
HIE--YMN!4G!BB	ひえ--YMん!4G!BB
HIEA0!M4.JU-KG	ひえあ0!M4.じゅ-KG
HIEAMMNW549.G.	ひえあMMんW549.G.
HIEIB.D!..90EG	ひえいB.D!..90えG
HIEIGGS!YWN!8G	ひえいGGS!YWん!8G
HIEIPD05NN-.9G	ひえいPD05んん-.9G
HIEITMNU84Z!JG	ひえいTMぬ84Z!JG
HIEIE9E.7.!UKG	ひえいえ9え.7.!うKG
HIEIE.Y!TN82NG	ひえいえ.Y!Tん82んG
HIEU.6DK-TUZBU	ひえう.6DK-つZぶ
HIEU7U9KGM-JE0	ひえう7う9KGM-Jえ0
HIEU.91N5B.MKM	ひえう.91ん5B.MKM
HIEUH.0!9GKTKE	ひえうH.0!9GKTけ
HIEU!R-GKM06JG	ひえう!R-GKM06JG
HIEUINZGGM829-	ひえういんZGGM829-
HIEU!U5!JIK.KE	ひえう!う5!じK.け
HIEUU9T.WEBZYG	ひえうう9T.ゑBZYG
HIEUO!RWUMY.EG	ひえうお!RWうMY.えG
HIEU.NT0D69MKE	ひえう.んT0D69Mけ
HIEUNNN1M3P!K-	ひえうんんん1M3P!K-
HIEE0G!9JD--UJ	ひええ0G!9JD--うJ
HIEEJ9M7.DZU!G	ひええJ9M7.Dず!G
HIEEJNG9T6U-9M	ひええJんG9T6う-9M
HIEEK3NZY5U!KM	ひええK3んZY5う!KM
HIEEKM--KU038G	ひええKM--く038G
HIEEU!8JNPG!K-	ひええう!8JんPG!K-
HIEEMU84!.HDN-	ひええむ84!.HDん-
HIEEN8M4-JNS4-	ひええん8M4-JんS4-
HIEEN9.D6GS!K-	ひええん9.D6GS!K-
HIESAUYM!9!NJG	ひえさうYM!9!んJG
HIEJU4MN!G6P.M	ひえじゅ4Mん!G6P.M
HIEZUSYYMUYB5G	ひえずSYYむYB5G
HIEZE!KD75N.YG	ひえぜ!KD75ん.YG
HIENUNUMHB94Z!	ひえぬぬMHB94Z!
HIE-BIZ.EU-T0Z	ひえ-びZ.えう-T0Z
HIEMUD6S9NMN5Y	ひえむD6S9んMん5Y
HIEME3MUZWN99G	ひえめ3むZWん99G
HIEN-0D8YTIN5G	ひえん-0D8Yちん5G
HIEN3-!IR!NA.G	ひえん3-!いR!な.G
HIEN48S.KEKMT0	ひえん48S.けKMT0
HIEN6GR5M!Y-GJ	ひえん6GR5M!Y-GJ
HIE-ND1.0NWGD!	ひえ-んD1.0んWGD!
HI-ENM9G8NN1PT	ひ-えんM9G8んん1PT
HIENPDZS8M!N9G	ひえんPDZS8M!ん9G
HIENW8MUM2.N4E	ひえんW8むM2.ん4え
HI-ENN9A8KTG5-	ひ-えんん9あ8KTG5-
HIO-GKSSG!YB.U	ひお-GKSSG!YB.う
HIO-UM3ZTYGB.G	ひお-うM3ZTYGB.G
HIOUYEUJ8NUNZZ	ひおうYえうJ8ぬんZZ
HIOUUN-PPTEU9U	ひおううん-PPてう9う
HIOU.NTTTD-6JG	ひおう.んTTTD-6JG
HION0UET!7NKKG	ひおん0うえT!7んKKG
HI-GAZSG-THZ!-	ひ-がZSG-THZ!-
HIGUI!N.THM82G	ひぐい!ん.THM82G
HIGUUPUMOT1YU-	ひぐうぷもT1ゆ-
HIKUEK8E!MUPN0	ひくえK8え!むPん0
HIGUEKM3N0YM6T	ひぐえKM3ん0YM6T
HIGUE!MMY46HNU	ひぐえ!MMY46Hぬ
HIGUEHU2!7.NKM	ひぐえふ2!7.んKM
HIGUGEGWW2.SY-	ひぐげGWW2.SY-
HIGUNS52NJI!K-	ひぐんS52んじ!K-
HIGEU7NKA!.N7T	ひげう7んか!.ん7T
HIGEUGJY34U4TY	ひげうGJY34う4TY
HIGEEW22NN9.N-	ひげえW22んん9.ん-
HIKEEEJ3.!T.9M	ひけええJ3.!T.9M
HIKETU7ND!JE.0	ひけつ7んD!Jえ.0
HIGEMUZJGM829-	ひげむZJGM829-
HIGOEYNJMU!95M	ひごえYんJむ!95M
HIJIUUM!G85YEM	ひじううM!G85YえM
HIJAN7TNNT2N!U	ひじゃん7TんんT2ん!う
HIJU2GNN20MYE-	ひじゅ2Gんん20MYえ-
HIJU39M-KGZM5E	ひじゅ39M-KGZM5え
HIJU5MI9WGGG!Z	ひじゅ5み9WGGG!Z
HIJUGD-M5G76.M	ひじゅGD-M5G76.M
HIJUKJ1!-!G-EG	ひじゅKJ1!-!G-えG
HIJUGIG!J9-5E-	ひじゅぎG!J9-5え-
HIJUYUSKTET1M.	ひじゅゆSKてT1M.
HIJUND57!NUIE-	ひじゅんD57!ぬいえ-
HIJUNRE!YEN75M	ひじゅんれ!Yえん75M
HIJOGG--U-SD5Y	ひじょGG--う-SD5Y
HIJO-R5TYUSTUG	ひじょ-R5ちゅSつG
HIJOKU8.GNSUZZ	ひじょく8.GんすZZ
HISUE04YNI!MJG	ひすえ04Yに!MJG
HIZUE7M4BNK0.G	ひずえ7M4BんK0.G
HISUEN---W0SMA	ひすえん---W0Sま
HI-SEEN7T4N9NJ	ひ-せえん7T4ん9んJ
HIZENEDK89-!SG	ひぜねDK89-!SG
HITUORYGSS9EU-	ひつおRYGSS9えう-
HITUN!6AEK.KG!	ひつん!6あえK.KG!
HI-NA54GJEYN!-	ひ-な54GJえYん!-
HINAAD5N.!!D.-	ひなあD5ん.!!D.-
HINIASGM094G-.	ひにあSGM094G-.
HINIEYGU09DZ5M	ひにえYぐ09DZ5M
HINITEN8.WD5G!	ひにてん8.WD5G!
HININGDZ4S9Z5M	ひにんGDZ4S9Z5M
HI-NU5PN!H!DJG	ひ-ぬ5Pん!H!DJG
HINUAK10!MGRN-	ひぬあK10!MGRん-
HI-NUAPGK5USY-	ひ-ぬあPGK5うSY-
HINUME6EY0G4K-	ひぬめ6えY0G4K-
HINUN2MA9GPM.0	ひぬん2ま9GPM.0
HINUNYI5!!PANG	ひぬんYい5!!ぱんG
HI-NE4SK.9EE8M	ひ-ね4SK.9ええ8M
HINEINZ93U-4EM	ひねいんZ93う-4えM
HINEUE89MDSM8-	ひねうえ89MDSM8-
HINEE274.ZGK.M	ひねえ274.ZGK.M
HINEEU!JT8K!KS	ひねえう!JT8K!KS
HINEEN.A!7R!YG	ひねえん.あ!7R!YG
HINEKE52.G9WN-	ひねけ52.G9Wん-
HINEMEYT308MYG	ひねめYT308MYG
HINE--MESO5-ZY	ひね--めそ5-ZY
HINEN3T8ZK-!BG	ひねん3T8ZK-!BG
HINEN!-3YBG8E-	ひねん!-3YBG8え-
HINEN8B2T!..NB	ひねん8B2T!..んB
HINENSHM!DU8R!	ひねんSHM!Dう8R!
HINONEMSG48!K-	ひのねMSG48!K-
HIBIN.-G4H5N!U	ひびん.-G4H5ん!う
HIPUEEZG!K9KN0	ひぷええZG!K9Kん0
HIBUNPMT3N0N8M	ひぶんPMT3ん0ん8M
HIBEGUK!JZ!3M.	ひべぐK!JZ!3M.
HIBENIGN34-.0-	ひべにGん34-.0-
HIBOTU.YGSUT5Y	ひぼつ.YGすT5Y
HIMYAE.N5YG59M	ひみゃえ.ん5YG59M
HIMINGE24.Z9GZ	ひみんげ24.Z9GZ
HIMUUKM3GMA8!Z	ひむうKM3Gま8!Z
HIYAGUN2M5NZ9M	ひやぐん2M5んZ9M
HIRAZUT4KN-.ES	ひらずT4Kん-.えS
HIWIE!NUMD35N.	ひゐえ!ぬMD35ん.
HI-N.3SSDSTKYE	ひ-ん.3SSDSTKYえ
HIN-4E!Y6MUGJE	ひん-4え!Y6むGJえ
HIN-5M.8EB7GD.	ひん-5M.8えB7GD.
HI-N6JD-GG3MT0	ひ-ん6JD-GG3MT0
HIN-9DSZ3NAMG!	ひん-9DSZ3なMG!
HIN-BNGN8D25-Z	ひん-BんGん8D25-Z
HI-ND7AGG7G.0-	ひ-んD7あGG7G.0-
HI-ND8-UA!MJ5G	ひ-んD8-うあ!MJ5G
HI--NDB-G85N8E	ひ--んDB-G85ん8え
HI-N.DNH5D!E5Y	ひ-ん.DんH5D!え5Y
HI-NG8JBB.!-5G	ひ-んG8JBB.!-5G
HIN-J740EENGTY	ひん-J740ええんGTY
HIN--JEN5I3GR!	ひん--Jえん5い3GR!
HIN-K8DTG6.!EE	ひん-K8DTG6.!ええ
HIN-KM5GG6D6U-	ひん-KM5GG6D6う-
HIN-KNE8Y3T!EE	ひん-Kね8Y3T!ええ
HIN-M99A.EB.5G	ひん-M99あ.えB.5G
HI-NMSM58E3KGY	ひ-んMSM58え3KGY
HI-N!RHG1PNNG!	ひ-ん!RHG1PんんG!
HI-N!Y2G1NZBNG	ひ-ん!Y2G1んZBんG
HIN-AGIU4!6GN-	ひん-あぎう4!6Gん-
HINKIY9.UEE!5E	ひんきY9.うええ!5え
HINKUD2ZG-0HG!	ひんくD2ZG-0HG!
HINKU-N!TG71AN	ひんく-ん!TG71あん
HINSIMGZ5!KR8G	ひんしMGZ5!KR8G
HINSEGMJ9SJ4-!	ひんせGMJ9SJ4-!
HINPIT9NSNG85M	ひんぴT9んSんG85M
HINPUMRZGWZGU2	ひんぷMRZGWZぐ2
HINMUJ6UNED2!-	ひんむJ6うねD2!-
HINMEGM19G4YZZ	ひんめGM19G4YZZ
HINMENDD0SP9.0	ひんめんDD0SP9.0
HINWI54N5.INTG	ひんゐ54ん5.いんTG
HINWIRU5!ANNG!	ひんゐる5!あんんG!
HINN08MWUGM2DS	ひんん08MWうGM2DS
HINN1KMY!4GZSE	ひんん1KMY!4GZせ
HIN-N1TSJ40MKG	ひん-ん1TSJ40MKG
HINN2EPM.8YEG!	ひんん2えPM.8YえG!
HINN4HR!NMWU5E	ひんん4HR!んMWう5え
HINN-52ZD0KJTG	ひんん-52ZD0KJTG
HINN-52ZD5K.KE	ひんん-52ZD5K.け
HINN-57UM1KJTG	ひんん-57うM1KJTG
HINN.5M1B-U7KG	ひんん.5M1B-う7KG
HINN5T7KB0UZKG	ひんん5T7KB0うZKG
HINN6M5RTJWGG!	ひんん6M5RTJWGG!
HINN.6TEHGD4-!	ひんん.6てHGD4-!
HINN705GGKIIM.	ひんん705GGきいM.
HIN-N7K.2D0UEE	ひん-ん7K.2D0うええ
HINN7TMW3-G5JG	ひんん7TMW3-G5JG
HINN7YPSMGG09E	ひんん7YPSMGG09え
HINN7E5AR.-KG!	ひんん7え5あR.-KG!
HINN-855DWM.BG	ひんん-855DWM.BG
HINN.9RM1EZ!BG	ひんん.9RM1えZ!BG
HINND!6NSRJT5M	ひんんD!6んSRJT5M
HINN.DZ1Z4M4EM	ひんん.DZ1Z4M4えM
HINNM4IU0PE-8G	ひんんM4いう0ぺ-8G
HINN.M85EB-2YG	ひんん.M85えB-2YG
HINNM8SKUBU!7E	ひんんM8Sくぶ!7え
HIN-NPM3SE!J9G	ひん-んPM3せ!J9G
HINNR98T7E.EEM	ひんんR98T7え.ええM
HINNTMNH9S!3PG	ひんんTMんH9S!3PG
HINNW4E.M8T0DE	ひんんW4え.M8T0Dえ
HINNWNZ5MBU49E	ひんんWんZ5Mぶ49え
HINNZ07K4GP-EG	ひんんZ07K4GP-えG
HINNZGP!T20JKG	ひんんZGP!T20JKG
HINNZN1RM!BG5Y	ひんんZん1RM!BG5Y
HINN.UB8MI!G2S	ひんん.うB8み!G2S
HINN-EKE56R!YG	ひんん-えけ56R!YG
HINN.GU6!KP2EM	ひんん.ぐ6!KP2えM
HINN-JI5K5STN4	ひんん-じ5K5STん4
HINN.PU575BNKM	ひんん.ぷ575BんKM
HINNPUHN4-9M5E	ひんんぷHん4-9M5え
HINN.RE8M20-BG	ひんん.れ8M20-BG
HINNNGN1E2-Y7T	ひんんんGん1え2-Y7T
HINNNZDKWR5!5E	ひんんんZDKWR5!5え
HU--.KMHZGU1YB	ふ--.KMHZぐ1YB
HU-AGB-WUS3TYU	ふ-あGB-WうS3ちゅ
HUA-GJ7!8-GMKE	ふあ-GJ7!8-GMけ
HU-A!J7GMD8MGZ	ふ-あ!J7GMD8MGZ
HU-AKM9BG5JM.0	ふ-あKM9BG5JM.0
HUA-Z-HMSB-NT0	ふあ-Z-HMSB-んT0
HUAIZK5GG0M9K-	ふあいZK5GG0M9K-
HUAIME90.IGM9U	ふあいめ90.いGM9う
HUAU33!1!S.!U2	ふあう33!1!S.!う2
HUAU.DD5DT89YG	ふあう.DD5DT89YG
HUAUPPT-KT3NUZ	ふあうPPT-KT3ぬZ
HUAUSW7YURMTSG	ふあうSW7ゆRMTSG
HUAUT1BTTY.YGZ	ふあうT1BTTY.YGZ
HUA-UT-JS3ERTY	ふあ-うT-JS3えRTY
HUAUTPKPU!.SYE	ふあうTPKぷ!.SYえ
HUAUYPYGSR-ET0	ふあうYPYGSR-えT0
HUAUUMK-HYZ2TG	ふあううMK-HYZ2TG
HUA-ERKGR0NZWT	ふあ-えRKGR0んZWT
HUA-ET.7G-JBYU	ふあ-えT.7G-JBゆ
HUAZE.B-TKRRN0	ふあぜ.B-TKRRん0
HUA-HUU3T.TYBT	ふあ-ふう3T.TYBT
HUAPE7W.UUTKTU	ふあぺ7W.ううTKつ
HUAROUN.!BP-TU	ふあろうん.!BP-つ
HUAND!JE9N!HT-	ふあんD!Jえ9ん!HT-
HUAN!H4UKNA-M!	ふあん!H4うKな-M!
HUAN!-J4EZK9EM	ふあん!-J4えZK9えM
HUAN.T2J-TBU-J	ふあん.T2J-Tぶ-J
HUANTDMNJ7!M8S	ふあんTDMんJ7!M8S
HUANZ2K0!GBK.M	ふあんZ2K0!GBK.M
HUAN-IDNN5I95-	ふあん-いDんん5い95-
HU-I0WYOSGNDTG	ふ-い0WよSGんDTG
HUI-7ZMTETZNZA	ふい-7ZMてTZんざ
HU-IJEKM7U!1NG	ふ-いJえKM7う!1んG
HUI-K!9E6GGA.M	ふい-K!9え6Gが.M
HUI-KGM9D0H0SG	ふい-KGM9D0H0SG
HUIA.U.2UTMROT	ふいあ.う.2うTMろT
HU-IA-GONR0GTY	ふ-いあ-ごんR0GTY
HUIANP9M09-NEG	ふいあんP9M09-ねG
HUII1MG5NI.4N-	ふいい1MG5に.4ん-
HUII2NPN0GGZ9M	ふいい2んPん0GGZ9M
