A!!-1UE0H6NZ!5	あ!!-1うえ0H6んZ!5
A!!T92UYTG-151	あ!!T92うYTG-151
A!!TTSRD5PKMKE	あ!!TTSRD5PKMけ
A!!TGUYHIAKNN0	あ!!TぐYひあKんん0
A!!TTESTR2KKKE	あ!!TてSTR2KKけ
A!!W!ZEG061G0Z	あ!!W!ぜG061G0Z
A!!YT9DEMDPTSE	あ!!YT9DえMDPTせ
A!!Z70N55H1UMZ	あ!!Z70ん55H1うMZ
A!!ZGN880SKT81	あ!!ZGん880SKT81
A!!ZNBG-KD6NJS	あ!!ZんBG-KD6んJS
A!!A0ZINKYGNPG	あ!!あ0じんKYGんPG
A!!A9N.13GWU05	あ!!あ9ん.13GWう05
A!!AMDDYEYTEM!	あ!!あMDDYえYてM!
A!!AN0K.TJINBU	あ!!あん0K.Tじんぶ
A!!ANYNKZIS2NG	あ!!あんYんKじS2んG
A!!IUN.NKTJEI1	あ!!いうん.んKTJえい1
A!!IPUKDTTR!EE	あ!!いぷKDTTR!ええ
A!!U-SME6665N0	あ!!う-Sめ6665ん0
A!!U13S730UP.G	あ!!う13S730うP.G
A!!UG96N5IS83S	あ!!うG96ん5いS83S
A!!UI2G-WNJGHN	あ!!うい2G-WんJGHん
A!!UJIBNM9J.SE	あ!!うじBんM9J.せ
A!!UMUIG.JMJI1	あ!!うむいG.JMじ1
A!!E.9JHU-GKMA	あ!!え.9Jふ-GKま
A!!EDYMO0NHYNG	あ!!えDYも0んHYんG
A!!EWKNGDN6WGZ	あ!!えWKんGDん6WGZ
A!!EZNKNAKI5YU	あ!!えZんKなき5ゆ
A!!EGIS8DJNMZY	あ!!えぎS8DJんMZY
A!!O.TENHD8NKM	あ!!お.てんHD8んKM
A!!O314UNY50SU	あ!!お314うんY50す
A!!O8U5PN410UU	あ!!お8う5Pん410うう
A!!OBNN.OMK!JG	あ!!おBんん.おMK!JG
A!!OGNKMPJZ!GJ	あ!!おGんKMPJZ!GJ
A!!OKJHG.-IGG!	あ!!おKJHG.-いGG!
A!!ONJN4MEYAM.	あ!!おんJん4めやM.
A!!GAGIIMJ0.YU	あ!!がぎいMJ0.ゆ
A!!JOM9GEW.MJG	あ!!じょM9げW.MJG
A!!SOG9HNENYKM	あ!!そG9HねんYKM
A!!NYAN.3EDIMZ	あ!!にゃん.3えDいMZ
A!!HE56W!50ZG.	あ!!へ56W!50ZG.
A!!PENGI8NK.HT	あ!!ぺんぎ8んK.HT
A!!YANDNHMN5SY	あ!!やんDんHMん5SY
A!!NHKE8DRZNE-	あ!!んHけ8DRZね-
A!!NJD0INHWTUG	あ!!んJD0いんHWつG
A!!NJPNRE8MTHN	あ!!んJPんれ8MTHん
A!-!5BN!R5.82B	あ!-!5Bん!R5.82B
A!-!5H.I56.05E	あ!-!5H.い56.05え
A!-!B2BU-DTBNU	あ!-!B2ぶ-DTBぬ
A!--5KMZ3JDENJ	あ!--5KMZ3JDえんJ
A!--BG3TMPG4IT	あ!--BG3TMPG4いT
A!-.MS7NKAKJ5G	あ!-.MS7んかKJ5G
A!-0-IYGIN3GJE	あ!-0-いYぎん3GJえ
A!-083U!NS41AN	あ!-083う!んS41あん
A!-0WJDGKJ!EGZ	あ!-0WJDGKJ!えGZ
A!-1398U0UO5TG	あ!-1398う0うお5TG
A!-29TKEBTKETU	あ!-29TけBTけつ
A!-2TYKEB4GTE-	あ!-2TYけB4Gて-
A!-3GT846U50HN	あ!-3GT846う50Hん
A!-3GNZ3S871G!	あ!-3GんZ3S871G!
A!-3S!6JZ00E5M	あ!-3S!6JZ00え5M
A!-3EO45U190U.	あ!-3えお45う190う.
A!-4IM441555G!	あ!-4いM441555G!
A!-4EMSJN5JKJ-	あ!-4えMSJん5JKJ-
A!-50R6O30NG9G	あ!-50R6お30んG9G
A!-7ANNUEI8DN-	あ!-7あんぬえい8Dん-
A!-8EZ00AZ20G!	あ!-8えZ00あZ20G!
A!-8NHDSK0EGK-	あ!-8んHDSK0えGK-
A!-99RGMEHSNHN	あ!-99RGめHSんHん
A!-9HN8JTDEMGZ	あ!-9Hん8JTDえMGZ
A!-9IGON1.MING	あ!-9いごん1.みんG
A!-B!5S4N.092B	あ!-B!5S4ん.092B
A!-BDGTG!W2GWT	あ!-BDGTG!W2GWT
A!-BG0EJDZK8.M	あ!-BG0えJDZK8.M
A!-BKG6EK1N.N-	あ!-BKG6えK1ん.ん-
A!-D.HMHMGN48S	あ!-D.HMHMGん48S
A!-D6JMYJGM0SG	あ!-D6JMYJGM0SG
A!-DGKE-S4M2PT	あ!-DGけ-S4M2PT
A!-DPS..RDHSSU	あ!-DPS..RDHSす
A!-DRTUBH!MT2G	あ!-DRつBH!MT2G
A!-DT5IGD!-DOT	あ!-DT5いGD!-DおT
A!-DUNDSR3R3NJ	あ!-DうんDSR3R3んJ
A!-DESM69MJJ.G	あ!-DえSM69MJJ.G
A!-DEMIJ3N6NU-	あ!-DえみJ3ん6ぬ-
A!-DNEJI5M6YNU	あ!-Dねじ5M6Yぬ
A!-DHENZ04IKNU	あ!-DへんZ04いKぬ
A!-G7HM.JUBM8G	あ!-G7HM.じゅBM8G
A!-G9ZNGAH-7KG	あ!-G9ZんがH-7KG
A!-GDWE.7MHN8G	あ!-GDゑ.7MHん8G
A!-GN1.EKKEI8-	あ!-Gん1.えKけい8-
A!-HD-DNJ0A.G!	あ!-HD-DんJ0あ.G!
A!-HJ.NDI5B.G!	あ!-HJ.んDい5B.G!
A!-HMJUMI82.GG	あ!-HMじゅみ82.GG
A!-HWJGG.EJ4M!	あ!-HWJGG.えJ4M!
A!-HNDZ-M93ANG	あ!-HんDZ-M93あんG
A!-J!A!338.S5G	あ!-J!あ!338.S5G
A!-J7UMNHG7DGZ	あ!-J7うMんHG7DGZ
A!-JM0HM3SKRNG	あ!-JM0HM3SKRんG
A!-JMZZUTIEHS-	あ!-JMZずちえHS-
A!-JRBMNJ0A.G!	あ!-JRBMんJ0あ.G!
A!-JKES10NKGK-	あ!-JけS10んKGK-
A!-JN72ANTN.KE	あ!-Jん72あんTん.け
A!-KNBJJB0UG0-	あ!-KんBJJB0うG0-
A!-M-PETB4GB9U	あ!-M-ぺTB4GB9う
A!-M0WNKJKGO5G	あ!-M0WんKJKご5G
A!-M3KUNHYH!EG	あ!-M3くんHYH!えG
A!-MR2D!EPDTGZ	あ!-MR2D!えPDTGZ
A!-MKUENDAJ8!Z	あ!-MくえんDあJ8!Z
A!-MPE4UDBER-!	あ!-Mぺ4うDべR-!
A!-PTD5MGKGP7T	あ!-PTD5MGKGP7T
A!-R!HKNNA5GJ-	あ!-R!HKんな5GJ-
A!-RDPAUHZ.TUU	あ!-RDぱうHZ.つう
A!-RGTJOSYUZBU	あ!-RGTじょしゅZぶ
A!-RSDSODRUNZZ	あ!-RSDそDるんZZ
A!-RNRSYSNUSPA	あ!-RんRSYSぬSぱ
A!-S.K2DTMTG2B	あ!-S.K2DTMTG2B
A!-SS.MZDH-MZA	あ!-SS.MZDH-Mざ
A!-T2IYMTD5UBG	あ!-T2いYMTD5うBG
A!-TB3TM5!N981	あ!-TB3TM5!ん981
A!-TT2HGGKT9BT	あ!-TT2HGGKT9BT
A!-TZZKHNZTISE	あ!-TZZKHんZちせ
A!-TRIRMD2SG5M	あ!-TりRMD2SG5M
A!-TNHN!8GAYKE	あ!-TんHん!8がYけ
A!-WG3RMNHMN8E	あ!-WG3RMんHMん8え
A!-WGB.6D!NENJ	あ!-WGB.6D!ねんJ
A!-WNKO5D!NENJ	あ!-Wんこ5D!ねんJ
A!-YRETAZYSJNG	あ!-YれたZYSJんG
A!-Z!8AE00ON!5	あ!-Z!8あえ00おん!5
A!-Z.GAK8AKMG!	あ!-Z.がK8あKMG!
A!-Z4S5!54-4RA	あ!-Z4S5!54-4ら
A!-A!OKJENG.9M	あ!-あ!おKJえんG.9M
A!-ABG54TKMTTY	あ!-あBG54TKMTTY
A!-ABJKE0NN!YU	あ!-あBJけ0んん!ゆ
A!-ADYG-SZRUHN	あ!-あDYG-SZるHん
A!-AK-NG6SKM8G	あ!-あK-んG6SKM8G
A!-AMJ0NG2WYNG	あ!-あMJ0んG2WYんG
A!-AMN.NKG1J7T	あ!-あMん.んKG1J7T
A!-AYBZAYGG.T.	あ!-あYBざYGG.T.
A!-AN8K0SMKUNB	あ!-あん8K0SMくんB
A!-INSK2N9AZNG	あ!-いんSK2ん9あZんG
A!-U-RUIGHA.EY	あ!-う-るいGは.えY
A!-U911S4UN58S	あ!-う911S4うん58S
A!-UM5PT3DMDIT	あ!-うM5PT3DMDいT
A!-UEIT4DSPMD!	あ!-うえいT4DSPMD!
A!-UEKIN5IJRN0	あ!-うえきん5いJRん0
A!-UNBYPAU-NON	あ!-うんBYぱう-のん
A!-E0NGIRH.I9G	あ!-え0んぎRH.い9G
A!-EDE!TDW2TYG	あ!-えDえ!TDW2TYG
A!-EH59.KJDMGZ	あ!-えH59.KJDMGZ
A!-EJ3MMJUI7NU	あ!-えJ3MMじゅい7ぬ
A!-EK5JIEKJ.!U	あ!-えK5じえKJ.!う
A!-EKB8U!AJN.M	あ!-えKB8う!あJん.M
A!-EKP-N6N9ANG	あ!-えKP-ん6ん9あんG
A!-EKWG00GJKYE	あ!-えKWG00GJKYえ
A!-EIEJY!JGN3-	あ!-えいえJY!JGん3-
A!-O4TNN6NHMKG	あ!-お4Tんん6んHMKG
A!-WEJNG0ID3N-	あ!-ゑJんG0いD3ん-
A!-N6MERZK1KNG	あ!-ん6めRZK1KんG
A!-NKB8NYME5ON	あ!-んKB8んYめ5おん
A!-NM2JK8ZDNSE	あ!-んM2JK8ZDんせ
A!-NGIJ90ODEM.	あ!-んぎJ90おDえM.
A!.!8K58SA1UG!	あ!.!8K58さ1うG!
A!..EB.-K.YA-A	あ!..えB.-K.や-あ
A!.0IMH3DT.NKE	あ!.0いMH3DT.んけ
A!.0NGMKNSYBH2	あ!.0んGMKんSYBH2
A!.14O!G70N1NU	あ!.14お!G70ん1ぬ
A!.1560.UU4B4S	あ!.1560.うう4B4S
A!.3R.DGDIOG9U	あ!.3R.DGDいおG9う
A!.3UDTK3A.DYG	あ!.3うDTK3あ.DYG
A!.47MHBN.SING	あ!.47MHBん.しんG
A!.508D0U62KSG	あ!.508D0う62KSG
A!.7MNMGHJK2SU	あ!.7MんMGHJK2す
A!.9B.GMHAM3N-	あ!.9B.GMはM3ん-
A!.9S125UU1D.0	あ!.9S125うう1D.0
A!.9EGKH7-GAM.	あ!.9えGKH7-がM.
A!.BDJK-.Z-UZA	あ!.BDJK-.Z-うざ
A!.BMNP5MI.8JG	あ!.BMんP5み.8JG
A!.DGZ!HK9ANE-	あ!.DGZ!HK9あね-
A!.DJ0N8PMBE.M	あ!.DJ0ん8PMべ.M
A!.DMJS..RI-ZA	あ!.DMJS..り-ざ
A!.DIH8K!GEE.-	あ!.DいH8K!げえ.-
A!.DOSZPGUWKTU	あ!.DおSZPぐWKつ
A!.DOZ.TNAKITU	あ!.DおZ.Tなきつ
A!.DBEMNJZJ95-	あ!.DべMんJZJ95-
A!.G3AJMN-MA9-	あ!.G3あJMん-ま9-
A!.GHB.I.A9GM!	あ!.GHB.い.あ9GM!
A!.GSBNN0KHK7T	あ!.GSBんん0KHK7T
A!.GWHSKKUSUIT	あ!.GWHSKくすいT
A!.GWK!ATAKNN0	あ!.GWK!あたKんん0
A!.H2JN0KTEGK-	あ!.H2Jん0KてGK-
A!.HKY5DNJ0TEM	あ!.HKY5DんJ0てM
A!.HNUJ!DHED!-	あ!.HぬJ!DへD!-
A!.J-!NM2AJPNG	あ!.J-!んM2あJPんG
A!.J0.044B85SE	あ!.J0.044B85せ
A!.JGKNBN1A-!-	あ!.JGKんBん1あ-!-
A!.JJ9MBEZGE9-	あ!.JJ9MべZげ9-
A!.JM-U9EHEI9G	あ!.JM-う9えへい9G
A!.JMYDMANU65M	あ!.JMYDまぬ65M
A!.JW0TJ2ENGKM	あ!.JW0TJ2えんGKM
A!.JWBENJNM4T0	あ!.JWべんJんM4T0
A!.JWINAGNM4T0	あ!.JゐなGんM4T0
A!.KM7UE9JAE.M	あ!.KM7うえ9じゃえ.M
A!.KPJGMEJG7Z!	あ!.KPJGめJG7Z!
A!.KS!-3AHNGKM	あ!.KS!-3あHんGKM
A!.KSSKUN-RSHB	あ!.KSSくん-RSHB
A!.KSUK8BJ0MEM	あ!.KすK8BJ0めM
A!.KNA0U1M.BKM	あ!.Kな0う1M.BKM
A!.KBUHNEKS8M!	あ!.KぶHねKS8M!
A!.M0OU2MJKMJG	あ!.M0おう2MJKMJG
A!.MK9ZAE8BMG.	あ!.MK9ざえ8BMG.
A!.MN!AJON4KE-	あ!.Mん!あじょん4け-
A!.MN0AKSK3KE-	あ!.Mん0あKSK3け-
A!.P87535G7USU	あ!.P87535G7うす
A!.WD!851.15NG	あ!.WD!851.15んG
A!.Z9MJES9EKKE	あ!.Z9MJえS9えKけ
A!.ZB8JNNMK5BT	あ!.ZB8JんんMK5BT
A!.A5-S5U76TZZ	あ!.あ5-S5う76TZZ
A!.A5B3.65!N9U	あ!.あ5B3.65!ん9う
A!.A8605NR4!SG	あ!.あ8605んR4!SG
A!.AZDA.JG9MM!	あ!.あZDあ.JG9MM!
A!.AUPOB-UGR.-	あ!.あうぽB-うGR.-
A!.IDEZ.EKK58M	あ!.いDえZ.えKK58M
A!.IG!GI.3IIGZ	あ!.いG!ぎ.3いいGZ
A!.IKGA-GJG7Z!	あ!.いKが-GJG7Z!
A!.IPJGNEKS8M!	あ!.いPJGねKS8M!
A!.IPJGI1MNN!U	あ!.いPJぎ1Mんん!う
A!.IAKG4JN0TMZ	あ!.いあKG4Jん0TMZ
A!.U0NG7-N1691	あ!.う0んG7-ん1691
A!.UH4S!593S1U	あ!.うH4S!593S1う
A!.E!!-3!TAD91	あ!.え!!-3!たD91
A!.E6N5543RJ!Z	あ!.え6ん5543RJ!Z
A!.EAN8M-3GIMY	あ!.えあん8M-3ぎMY
A!.EIPEK98MNGZ	あ!.えいぺK98MんGZ
A!.ESAKURWUUWT	あ!.えさくRWううWT
A!.ON5!8UJ21G!	あ!.おん5!8うJ21G!
A!.GIMNNMZY13B	あ!.ぎMんんMZY13B
A!.HEBGM8MR8M.	あ!.へBGM8MR8M.
A!.MI23H.NEGK-	あ!.み23H.ねGK-
A!.MEKA0IEY.N4	あ!.めか0いえY.ん4
A!.YOUM.PTSRGA	あ!.ようM.PTSRが
A!.N05D10Y51YG	あ!.ん05D10Y51YG
A!.N7B-SMK8ANG	あ!.ん7B-SMK8あんG
A!.NDAIZKG02.M	あ!.んDあいZKG02.M
A!.NGHM!AZ4KYE	あ!.んGHM!あZ4KYえ
A!.NH0MT7OGKKG	あ!.んH0MT7おGKKG
A!.NKG7JUHBE!-	あ!.んKG7じゅHべ!-
A!.NKG7HEERJ!-	あ!.んKG7へえRJ!-
A!.NMB9GGB8H-Z	あ!.んMB9GGB8H-Z
A!.NZG9W08D051	あ!.んZG9W08D051
A!.NZH!!6!15SE	あ!.んZH!!6!15せ
A!0!53J-OU3U2U	あ!0!53J-おう3う2う
A!0!RD!9S5!ZDA	あ!0!RD!9S5!ZDあ
A!0!Z46ME6S.0E	あ!0!Z46め6S.0え
A!0--NA7JDNNPG	あ!0--な7JDんんPG
A!0-0O!NI3Z50E	あ!0-0お!に3Z50え
A!0-9NBGYNBNZA	あ!0-9んBGYんBんざ
A!0-9NGUDMIJZA	あ!0-9んぐDみJざ
A!0-BJGNIK5ZD.	あ!0-BJGにK5ZD.
A!0-PJ3NG31.!5	あ!0-PJ3んG31.!5
A!0-Z!056OE!JG	あ!0-Z!056おえ!JG
A!0-NUH4NPHMKG	あ!0-ぬH4んPHMKG
A!0.1ME06M1T.0	あ!0.1め06M1T.0
A!0.3!3!ROEU1U	あ!0.3!3!ろえう1う
A!0.WJK-BGGHG!	あ!0.WJK-BGGHG!
A!00A0!Z1SJG!-	あ!00あ0!Z1SJG!-
A!00AUE0Z00B9-	あ!00あうえ0Z00B9-
A!00U5AN6UD99S	あ!00う5あん6うD99S
A!00UN!5A6O!MZ	あ!00うん!5あ6お!MZ
A!00O841T0RGUU	あ!00お841T0Rぐう
A!01M00ZJ03TE-	あ!01M00ZJ03て-
A!02TTS577!TES	あ!02TTS577!てS
A!031U9EU5RYS0	あ!031う9えう5RYS0
A!038G4SS5RYS0	あ!038G4SS5RYS0
A!04D594S55BM!	あ!04D594S55BM!
A!05NJWGIWGGK-	あ!05んJWぎWGGK-
A!06EZH!SNZ4!5	あ!06えZH!SんZ4!5
A!07G2ZUU30H9G	あ!07G2ずう30H9G
A!07US103.NB9G	あ!07うS103.んB9G
A!08U304SR0UAT	あ!08う304SR0うあT
A!09S96G.AT85G	あ!09S96G.あT85G
A!0DDZIJM0.DGZ	あ!0DDじJM0.DGZ
A!0DK.HG-BH.G!	あ!0DK.HG-BH.G!
A!0DKHSNKD-SN0	あ!0DKHSんKD-Sん0
A!0DZ.KIAM-G8G	あ!0DZ.きあM-G8G
A!0DNHZ502Z5Z!	あ!0DんHZ502Z5Z!
A!0DNJWMG!HSYG	あ!0DんJWMG!HSYG
A!0G!2.H853KSU	あ!0G!2.H853Kす
A!0G6NINBYTNKS	あ!0G6にんBYTんKS
A!0G9SE.8915YE	あ!0G9せ.8915Yえ
A!0GJZMYMD6GKS	あ!0GJZMYMD6GKS
A!0GJA5Z483U!-	あ!0Gじゃ5Z483う!-
A!0J0P0ET0E08-	あ!0J0P0えT0え08-
A!0JJGM-T9HED.	あ!0JJGM-T9へD.
A!0JPJEYMDGN0-	あ!0JPJえYMDGん0-
A!0JSEMK-JN9BU	あ!0JせMK-Jん9ぶ
A!0K-GNDG8OIMZ	あ!0K-GんDG8おいMZ
A!0K-GA9EMJZD.	あ!0K-が9えMJZD.
A!0K..ADA!MKGZ	あ!0K..あDあ!MKGZ
A!0K.IEJYTIN5G	あ!0K.いえJYちん5G
A!0K3N.KMAMSEY	あ!0K3ん.KまMせY
A!0KGHZDY5NBM.	あ!0KGHZDY5んBM.
A!0KK!SJANSD.M	あ!0KK!SじゃんSD.M
A!0KKNUMNAZ8BT	あ!0KKぬMなZ8BT
A!0KMNJBTN6.BU	あ!0KMんJBTん6.ぶ
A!0KZ8SH!0E5T0	あ!0KZ8SH!0え5T0
A!0KSIGTY6NMJG	あ!0KしGTY6んMJG
A!0KN.-JMOBE9G	あ!0Kん.-Jもべ9G
A!0KN.MWGGU6IB	あ!0Kん.MWGぐ6いB
A!0KNHKBG!O-G.	あ!0KんHKBG!お-G.
A!0M.E-DY8IANG	あ!0M.え-DY8いあんG
A!0M00D0B1Z.S0	あ!0M00D0B1Z.S0
A!0MGDZKJOND0-	あ!0MGDZKじょんD0-
A!0MKNPJW3GGMZ	あ!0MKんPJW3GGMZ
A!0MZ50.6OG1M!	あ!0MZ50.6おG1M!
A!0MN3.Y5K0S81	あ!0Mん3.Y5K0S81
A!0MNKAJRMRN5Z	あ!0MんかJRMRん5Z
A!0PGZJMKKE-8G	あ!0PGZJMKけ-8G
A!0RMTSD2MGRIT	あ!0RMTSD2MGりT
A!0S0H56-G9Z5M	あ!0S0H56-G9Z5M
A!0S0M83E60-E-	あ!0S0M83え60-え-
A!0T7E5.NA60Z!	あ!0T7え5.な60Z!
A!0TZS!1I00N8E	あ!0TZS!1い00ん8え
A!0W055AG0Z9MZ	あ!0W055あG0Z9MZ
A!0W0GMJKMGAYU	あ!0W0GMJKMがゆ
A!0YK.EBH-0GKG	あ!0YK.えBH-0GKG
A!0YSD9HMMUENJ	あ!0YSD9HMむえんJ
A!0Z56MZNB855-	あ!0Z56MZんB855-
A!0Z5N010BGW0-	あ!0Z5ん010BGW0-
A!0ZGMDB8EYJ.M	あ!0ZGMDB8えYJ.M
A!0ZN7JE.DDB.M	あ!0Zん7Jえ.DDB.M
A!0ZNKKGED9HS-	あ!0ZんKKげD9HS-
A!0A0U1U.54P9U	あ!0あ0う1う.54P9う
A!0A4J23N0U.5-	あ!0あ4J23ん0う.5-
A!0A55!0NB.6-Z	あ!0あ55!0んB.6-Z
A!0AT.P5S0T8ZZ	あ!0あT.P5S0T8ZZ
A!0AZRNI.!IGKG	あ!0あZRに.!いGKG
A!0IYINDDGZSN0	あ!0いYいんDDGZSん0
A!0IIUM.D.1ING	あ!0いいうM.D.1いんG
A!0IU2U!N6U18G	あ!0いう2う!ん6う18G
A!0INES6!Z85T0	あ!0いねS6!Z85T0
A!0U30.4M5O4HN	あ!0う30.4M5お4Hん
A!0U55!M8H5H-Z	あ!0う55!M8H5H-Z
A!0USKNNEKHB9-	あ!0うSKんねKHB9-
A!0UEJEKNISM9Y	あ!0うえJえKにSM9Y
A!0UOZNZZ-!0P1	あ!0うおZんZZ-!0P1
A!0E48T90.O1NG	あ!0え48T90.お1んG
A!0EN5ZM811-Z!	あ!0えん5ZM811-Z!
A!0OU0.M6!7EE0	あ!0おう0.M6!7ええ0
A!0KAJNW-0NDTG	あ!0かJんW-0んDTG
A!0KU3JKM-INES	あ!0く3JKM-いねS
A!0KETMJDY6ZNG	あ!0けTMJDY6ZんG
A!0GE-ZH5W80!5	あ!0げ-ZH5W80!5
A!0GEJDZKKGWZ!	あ!0げJDZKKGWZ!
A!0JAGNBJ--G!Y	あ!0じゃGんBJ--G!Y
A!0TUY420NM!1B	あ!0つY420んM!1B
A!0TEKKN!OYGHN	あ!0てKKん!おYGHん
A!0NIIEJKGT3.-	あ!0にいえJKGT3.-
A!0NIN.BKWG.2E	あ!0にん.BKWG.2え
A!0NOZI!0950ES	あ!0のじ!0950えS
A!0HU4E5R80RN0	あ!0ふ4え5R80Rん0
A!0ME36Z20GZ!Z	あ!0め36Z20GZ!Z
A!0MOG8K053U9S	あ!0もG8K053う9S
A!0RIGPNENIK.0	あ!0りGPねにK.0
A!0N2W0ZE08S5M	あ!0ん2W0ぜ08S5M
A!0N8UIDMIANU-	あ!0ん8ういDみあぬ-
A!0ND.GOIM2JM.	あ!0んD.ごいM2JM.
A!0NHMPKNHT4.G	あ!0んHMPKんHT4.G
A!1!5Z1UUS4J9U	あ!1!5Z1ううS4J9う
A!1!S30JRU5.U2	あ!1!S30Jる5.う2
A!1-U8440JZG0E	あ!1-う8440JZG0え
A!1-NMY-J8NEBG	あ!1-んMY-J8ねBG
A!1.23TN45Z1.U	あ!1.23Tん45Z1.う
A!1.50E!EH9!ZZ	あ!1.50え!えH9!ZZ
A!1.5R3TG8R0S0	あ!1.5R3TG8R0S0
A!1.H0T7G0E0!Z	あ!1.H0T7G0え0!Z
A!1.HKMK0TDNGZ	あ!1.HKMK0TDんGZ
A!1.MHN4NWEUKM	あ!1.MHん4んゑうKM
A!1.SKGEMKIK.0	あ!1.SKげMきK.0
A!10.4S0G15YUR	あ!10.4S0G15ゆR
A!10Z3!NZI5-E0	あ!10Z3!んじ5-え0
A!115NU.420P.U	あ!115ぬ.420P.う
A!12U3.8S5.-2G	あ!12う3.8S5.-2G
A!14..110U5YTG	あ!14..110う5YTG
A!142E!J4G!T!5	あ!142え!J4G!T!5
A!14D!45P50GM!	あ!14D!45P50GM!
A!14G59!5SD2M!	あ!14G59!5SD2M!
A!15.75UU9A9SU	あ!15.75うう9あ9す
A!18046J5UUTTU	あ!18046J5ううTつ
A!191GM0U82ZG.	あ!191GM0う82ZG.
A!19GIDZGJ.MMZ	あ!19ぎDZGJ.MMZ
A!1BM.M.HM8RNG	あ!1BM.M.HM8RんG
